"","Name",""
"cpd:C03017","Propionylcarnitine","0.64377"
"cpd:C06425","Arachidic acid","0.63865"
"cpd:C00281","D-Sedoheptulose 7-phosphate","0.63841"
"cpd:C00031","D-Glucose","0.63024"
"cpd:C00249","Palmitic acid","0.62731"
"cpd:C02067","Pseudouridine","0.62405"
"cpd:C16535",NA,"0.61903"
"cpd:C01595","Linoleic acid","0.6181"
"cpd:C00366","Uric acid","0.61307"
"cpd:C02835","Imidazoleacetic acid","0.61148"
"cpd:C00153","Niacinamide","0.60548"
"cpd:C00599","Cholestenone","0.60463"
"cpd:C06428","Eicosapentaenoic acid","0.59189"
"cpd:C16512",NA,"0.58488"
"cpd:C00052","Uridine diphosphategalactose","0.58347"
"cpd:C00042","Succinic acid","0.57967"
"cpd:C01026","Dimethylglycine","0.57087"
"cpd:C08362","Palmitoleic acid","0.56278"
"cpd:C00167","Uridine diphosphate glucuronic acid","0.55232"
"cpd:C00836","Sphinganine","0.55083"
"cpd:C03410","N-Glycolylneuraminic acid","0.54169"
"cpd:C00380","Cytosine","0.54086"
"cpd:C00245","Taurine","0.54056"
"cpd:C00116","Glycerol","0.53323"
"cpd:C01551","Allantoin","0.5316"
"cpd:C08322","Myristoleic acid","0.52655"
"cpd:C14828","9,10-DHOME","0.51796"
"cpd:C14829","12,13-DHOME","0.5026"
"cpd:C08645","Methylsuccinic acid","0.50178"
"cpd:C16527","7,10,13,16-Docosatetraenoic acid","0.50001"
"cpd:C06427","Alpha-Linolenic acid","0.49818"
"cpd:C00526","Deoxyuridine","0.49679"
"cpd:C11002","Tetradecanedioic acid","0.48986"
"cpd:C02630","2-Hydroxyglutarate","0.48947"
"cpd:C02140","Corticosterone","0.48541"
"cpd:C00072","Ascorbic acid","0.47883"
"cpd:C00487","Carnitine","0.47342"
"cpd:C06424","Myristic acid","0.47236"
"cpd:C19615",NA,"0.45928"
"cpd:C02838","L-Octanoylcarnitine","0.45334"
"cpd:C05568","Imidazole lactate","0.45324"
"cpd:C02642","Ureidopropionic acid","0.44683"
"cpd:C05282",NA,"0.43824"
"cpd:C00301","Adenosine diphosphate ribose","0.42741"
"cpd:C01959","Taurocyamine","0.42462"
"cpd:C00187","Cholesterol","0.41734"
"cpd:C02477","Alpha-Tocopherol","0.39561"
"cpd:C01479","Phenyllactic acid","0.39176"
"cpd:C05570","Ergothioneine","0.39003"
"cpd:C00208","D-Maltose","0.37045"
"cpd:C00864","Pantothenic acid","0.36498"
"cpd:C02043","Indolelactic acid","0.36462"
"cpd:C08277","Sebacic acid","0.36292"
"cpd:C08261","Azelaic acid","0.34726"
"cpd:C01835","Maltotriose","0.34323"
"cpd:C01089","(R)-3-Hydroxybutyric acid","0.34113"
"cpd:C00525",NA,"0.33542"
"cpd:C01586","Hippuric acid","0.3188"
"cpd:C00311","Isocitric acid","0.30632"
"cpd:C00805","Salicylic acid","0.29739"
"cpd:C02918","1-Methylnicotinamide","0.29277"
"cpd:C01134","Pantetheine 4'-phosphate","0.26831"
"cpd:C00473","Vitamin A","0.2265"
"cpd:C00032","Heme","0.21903"
"cpd:C00105","Uridine 5'-monophosphate","0.19968"
"cpd:C00089","Sucrose","0.18511"
"cpd:C00020","Adenosine monophosphate","0.15653"
"cpd:C05122","Taurocholic acid","0.023737"
