Sample,207,208,209,243,213,215,217,218
Label,HFD_Veh,HFD_Veh,HFD_Veh,HFD_Veh,HFD_Tx,HFD_Tx,HFD_Tx,HFD_Tx
1-palmitoleoyl-2-linoleoyl-GPC,"5,603,541","4,837,215","5,255,697","7,215,193","8,227,782","5,709,672","8,103,362","8,322,807"
1-palmitoleoyl-2-oleoyl-glycerol,"24,203,458","12,620,480","14,090,384","14,462,727","16,410,925","17,934,212","17,923,280","13,772,984"
1-palmitoleoyl-3-oleoyl-glycerol,"55,237,736","31,925,934","43,140,416","36,968,176","57,856,716","42,052,416","65,484,908","56,299,828"
1-palmitoleoyl-GPC,"409,015","249,772","490,139","1,638,123","3,148,274","331,800","1,481,765","1,451,969"
1-palmitoleoylglycerol,,,"192,119",,"966,968",,,"143,280"
1-palmitoyl-2-arachidonoyl-GPC,"55,249,020","40,245,032","44,441,732","85,169,136","416,235,136","47,096,080","340,790,016","329,584,800"
1-palmitoyl-2-arachidonoyl-GPE,"17,847,544","17,935,976","15,596,353","19,287,316","31,165,164","14,202,793","42,136,952","29,114,092"
1-palmitoyl-2-linoleoyl-glycerol,"49,357,052","24,807,572","22,567,720","30,133,942","15,636,565","34,925,608","18,789,792","15,607,924"
1-palmitoyl-2-linoleoyl-GPC,"185,673,232","161,778,736","178,947,792","292,368,096","316,527,008","188,792,624","270,228,800","306,355,616"
1-palmitoyl-2-linoleoyl-GPE,"25,434,804","27,416,888","27,660,696","29,502,848","12,855,361","29,027,772","19,002,456","19,986,956"
1-palmitoyl-2-oleoyl-GPC,"98,306,856","77,830,456","82,759,752","131,051,392","553,576,384","112,040,696","489,524,416","452,510,336"
1-palmitoyl-2-oleoyl-GPE,"9,674,345","8,442,743","9,023,076","10,475,643","16,492,634","13,368,946","21,527,592","17,732,208"
1-palmitoyl-2-oleoyl-GPG,"69,210","82,259","61,994","104,747","708,539","119,925","890,532","725,320"
1-palmitoyl-2-palmitoleoyl-GPC,"12,261,553","10,889,554","11,156,431","13,416,739","86,448,544","12,818,231","71,442,128","61,200,344"
1-palmitoyl-2-stearoyl-GPC,"7,147,829","4,880,424","5,428,366","6,341,953","70,443,984","6,663,653","48,570,608","53,602,752"
1-palmitoyl-3-linoleoyl-glycerol,"242,898,544","165,159,824","178,652,672","181,882,992","204,601,536","217,780,944","235,780,208","191,612,448"
1-palmitoyl-GPC,"27,236,612","16,960,452","29,841,498","78,392,168","113,590,408","27,088,948","63,662,824","66,937,848"
1-palmitoyl-GPE,"1,411,134","967,192","1,169,491","1,441,906","9,008,585","1,331,998","7,321,734","6,519,455"
1-palmitoyl-GPG,,,,,"1,034,674",,"242,657","195,152"
1-palmitoyl-GPI,,,,"125,673","10,974,818",,"2,189,732","2,342,388"
1-stearoyl-2-arachidonoyl-GPC,"88,026,824","69,785,136","61,569,288","112,553,168","891,718,912","85,677,944","663,925,376","732,773,888"
1-stearoyl-2-arachidonoyl-GPE,"71,150,088","66,478,432","54,037,432","72,982,504","163,871,488","62,132,216","155,476,624","158,894,944"
1-stearoyl-2-arachidonoyl-GPI,"3,863,890","2,988,245","3,831,163","3,885,743","5,941,119","1,460,941","5,137,583","6,614,392"
1-stearoyl-2-arachidonoyl-GPS,"25,207,148","21,308,880","17,353,240","27,892,388","63,494,428","26,657,596","62,750,296","61,908,400"
1-stearoyl-2-linoleoyl-GPC,"297,723,488","298,156,480","291,277,280","396,985,216","578,049,664","424,143,296","506,933,056","639,561,792"
1-stearoyl-2-linoleoyl-GPE,"55,282,992","58,640,840","57,074,248","64,137,516","41,058,968","65,117,016","48,501,348","59,936,504"
1-stearoyl-2-oleoyl-GPC,"67,803,704","56,107,940","52,650,356","74,339,176","625,581,376","89,191,456","424,633,504","500,956,160"
1-stearoyl-2-oleoyl-GPE,"9,323,617","6,999,131","7,154,559","9,250,051","38,264,856","14,676,907","31,655,604","36,566,840"
1-stearoyl-2-oleoyl-GPS,,,"124,855","196,704","1,703,599",,"991,349","1,419,183"
1-stearoyl-GPC,"25,267,592","20,420,904","27,935,624","54,988,328","162,689,392","27,355,564","77,976,056","98,959,656"
1-stearoyl-GPE,"2,779,396","2,482,453","2,617,727","3,470,066","21,158,436","3,279,412","12,432,491","14,692,955"
1-stearoyl-GPI,"263,250","133,073","193,284","522,978","21,970,432","388,286","3,738,157","5,247,533"
1-stearoyl-GPS,"354,938","149,071","201,219","444,429","14,582,861","497,654","3,066,586","3,786,041"
10-heptadecenoate,"40,472,692","21,650,580","25,816,742","36,246,412","107,518,696","51,212,424","49,758,188","45,732,532"
10-nonadecenoate,"4,454,774","3,555,784","6,849,444","9,253,012","25,415,672","11,043,202","12,776,590","11,145,779"
"12,13-DiHOME","557,770","374,862","358,963","327,069","626,634","507,776","377,556","559,212"
12-HETE,"793,814","426,774","639,193","398,126","7,224,294","1,137,663","4,142,467","5,065,342"
15-HETE,"213,154","99,221","183,677","214,731","1,744,244","229,690","696,246","1,042,376"
15-methylpalmitate,"8,483,893","8,171,531","11,918,849","15,033,070","28,972,134","16,279,572","18,660,244","12,310,661"
16-hydroxypalmitate,"2,596,314","1,305,519","944,053","853,637","1,096,437","936,033","1,110,726","1,257,561"
17-methylstearate,"1,129,011","729,569","1,257,935","1,697,027","3,259,980","1,489,032","1,557,451","1,318,305"
2'-deoxycytidine,"513,086","372,051","682,157","1,503,640","5,453,735","1,300,019","3,222,661","2,960,421"
2'-deoxyguanosine,,,,,"2,723,084",,"1,023,063","1,080,179"
2'-deoxyinosine,,,,,"309,670",,"102,607","142,126"
2'-deoxyuridine,"19,917",,,"25,577","84,026",,"58,857","36,727"
2-aminoadipate,"34,476,400","21,490,890","31,336,664","27,384,514","1,378,291,456","39,019,724","623,750,464","1,030,238,336"
2-aminoheptanoate,"399,435","307,052","518,832","329,909","1,708,087","618,836","559,640","1,075,634"
2-aminooctanoate,,,"40,485",,"207,376",,"92,852","118,687"
2-hydroxy-3-methylvalerate,,,,,"801,949",,"629,728","434,900"
2-hydroxyadipate,,,,,"1,440,334",,"693,916","1,034,096"
2-hydroxybutyrate/2-hydroxyisobutyrate,"497,750","338,232","462,427","627,747","1,500,693","829,856","1,266,872","1,171,599"
2-hydroxyglutarate,"3,172,294","3,994,750","3,413,713","4,215,600","3,392,905","3,836,717","7,308,415","4,922,642"
2-hydroxystearate,"1,320,453","1,018,682","1,674,127","1,300,588","6,811,876","1,848,060","3,514,598","2,738,958"
2-linoleoylglycerol,,"257,966","267,692","152,477","1,688,617",,"462,191","437,458"
2-methylbutyrylcarnitine,"350,730","439,905","1,090,983","1,027,544","2,662,233","820,833","1,721,748","2,801,062"
2-methylbutyrylglycine,,"478,772",,"510,313",,"561,374","557,011","473,465"
2-methylcitrate/homocitrate,,,,,"205,454","30,104","172,300","148,298"
2-methylmalonyl carnitine,,,,,,"56,396",,"80,003"
2-oleoylglycerol,"433,280",,"583,556",,"4,033,476","341,442","1,426,552","1,285,656"
2-palmitoleoyl-GPC,"87,706","77,458","118,587","168,700","676,261","108,228","208,190","437,377"
2-palmitoyl-GPC,"1,406,914","962,351","1,244,009","3,765,066","3,856,917","1,754,319","2,698,518","2,828,770"
2-stearoyl-GPE,"169,166",,,"358,593","2,355,923","113,382","655,980","740,890"
3-(4-hydroxyphenyl)lactate,"93,697","83,456","80,643","147,740","1,055,485","174,085","466,227","527,150"
3-aminoisobutyrate,"542,594","448,508","523,543","600,783",,"928,681","1,211,953","1,130,334"
3-hydroxy-3-methylglutarate,"1,033,593","949,582","859,584","1,318,545","4,818,788","1,060,823","6,407,869","5,024,349"
3-hydroxybutyrate,"1,457,425","373,843","300,139","565,725","869,703","331,534","638,153","852,042"
3-hydroxybutyrylcarnitine,"2,318,785","2,106,755","1,924,531","2,890,720","1,530,649","823,457","2,515,653","1,689,659"
3-hydroxyisobutyrate,,,"255,468",,"949,989","180,733","678,451","612,442"
3-indoxyl,"173,947","29,036","95,120","74,610","145,036","109,740","161,356","142,650"
3-methylcytidine,,,,,"2,010,319",,"1,265,597","1,140,300"
3-methylhistidine,"114,369","418,274","44,123","339,965","10,419,609","452,030","4,551,452","4,858,058"
3-phosphoglycerate,"198,920","77,033","114,994","175,959","2,244,957","226,613","3,563,634","2,097,147"
3-ureidopropionate,"2,424,797","815,143","893,365","858,228","1,644,471","1,092,176","1,893,439","1,385,809"
4-cholesten-3-one,"2,112,115","2,097,269","1,927,520","2,239,756","3,088,371","2,533,703","4,242,863","4,087,429"
4-ethylphenylsulfate,"23,847",,,,,,,
4-guanidinobutanoate,"910,768","631,348","771,508","1,747,614","4,985,015","1,091,773","2,610,858","2,285,751"
4-hydroxy-nonenal-glutathione,"57,925","190,014","234,031","219,129",,"208,567",,
4-hydroxybutyrate,,,,,"1,949,167",,"1,145,845","897,232"
4-imidazoleacetate,"669,353","800,637","849,378","1,226,645","1,253,135","1,682,549","703,686","1,089,624"
4-vinylphenol sulfate,,,,,"165,048","121,426","60,968",
5-aminovalerate,,,,,"41,189,696",,"21,542,888","15,627,376"
5-dodecenoate,"1,434,802","271,641","201,962","682,212","1,054,817","750,684","1,190,785","828,972"
5-hydroxylysine,,,,,"521,035",,"317,960","481,012"
5-methylthioadenosine,"252,562","310,525","455,295","379,374","15,745,536","427,826","6,133,055","8,850,139"
5-oxoproline,"6,021,090","3,277,324","3,772,117","6,212,859","124,581,712","7,867,684","83,051,920","89,490,240"
6-oxopiperidine-2-carboxylic acid,,,,,"695,185",,"399,081","516,191"
6-phosphogluconate,,,,,"99,614","52,990","243,933","170,520"
7-hydroxycholesterol,"3,466,634","965,697","2,190,816","2,358,887","2,651,636","2,124,539","2,411,357","3,647,694"
7-methylguanine,"65,489",,"96,580","179,263","895,280","88,343","624,523","603,661"
"9,10-DiHOME","340,292","327,798","291,626","261,552","410,337","397,727","352,685","456,546"
acetylcarnitine,"173,071,536","125,592,864","133,990,512","191,099,072","536,898,816","177,445,856","598,260,160","382,748,288"
acetylphosphate,"853,605","679,812","685,479","694,066","3,645,001","848,159","3,809,782","5,172,335"
aconitate,"167,767","76,494","227,601","189,695","1,018,060","96,511","1,399,567","562,360"
adenine,"131,801","83,617","79,516","163,814","2,203,970","120,182","795,065","1,216,047"
adenosine,"7,234,014","3,221,142","6,240,732","8,854,760","15,383,730","8,762,458","13,973,851","16,785,664"
adenosine 2'-monophosphate,"10,789",,,,,"17,799","128,593","42,430"
"adenosine 3',5'-diphosphate",,,,"27,985",,"33,918","138,840","65,865"
adenosine 3'-monophosphate ,,,,"38,221",,"46,111","66,580",
adenosine 5'-diphosphoribose,"242,441","87,144","123,423","271,987","38,241","202,867","253,427","162,841"
adenosine 5'-monophosphate,"3,406,752","4,446,114","5,844,833","7,465,929","242,488","3,539,948","527,855","610,737"
