Sample,ND_Veh_1,ND_Veh_2,ND_Veh_3,ND_Veh_4,HFD_Veh_1,HFD_Veh_2,HFD_Veh_3,HFD_Veh_4,HFD_Tx_1,HFD_Tx_2,HFD_Tx_3,HFD_Tx_4,Bsl_1,Bsl_2,Bsl_3,Bsl_4
2-oleoylglycerol (18:1),"3,086,380","3,383,489","3,151,220","4,072,270","5,738,797","3,041,968","4,566,460","2,798,013","10,497,787","7,580,425","4,329,586","2,445,356","2,355,394","2,879,521","2,691,403","3,099,622"
2-oxindole-3-acetate,"1,300,120","1,466,348","843,945","454,991",,,,,,,,,"1,614,787","1,425,390","657,447","5,832,138"
2-oxoadipate,"2,824,169","1,706,477","3,490,253","2,956,021","6,378,400","7,703,203","9,755,917","3,755,270","5,929,603","6,043,737","6,325,936","5,820,596","4,138,038","3,186,251","3,204,246","5,859,313"
2-palmitoleoyl-GPC (16:1)*,"4,229,455","4,841,834","4,387,181","3,822,645","2,828,634","1,976,490","2,511,226","3,876,459","3,496,533","2,426,855","3,192,505","2,670,398","1,733,967","1,893,673","1,983,387","3,165,075"
2-palmitoleoylglycerol (16:1)*,"664,724",,"318,086","176,886","187,435",,"918,484","232,816","366,847","493,327","225,186",,,"214,477","132,352","158,168"
2-palmitoyl-GPC (16:0)*,"202,746,448","188,009,264","270,669,248","194,584,512","233,845,984","241,131,408","242,858,352","257,795,376","180,488,784","198,785,808","213,374,784","242,134,384","107,857,640","96,413,392","130,927,616","165,080,560"
2-palmitoylglycerol (16:0),"1,019,451",,"1,161,603",,"3,032,375",,,"1,988,334","7,841,072","2,190,789","3,241,485",,,,"769,885",
2-piperidinone,"1,992,904","6,400,199","3,451,354","2,717,391","1,366,071","3,045,037","1,426,849","2,730,544","728,428","1,707,297","2,262,660","1,422,534","903,403","702,206","1,087,066","1,883,644"
2-stearoyl-GPE (18:0)*,"5,353,153","5,981,384","5,117,213","4,959,649","4,880,434","6,152,055","6,703,506","8,209,042","5,259,127","4,277,652","3,731,786","5,135,053","2,616,401","2,654,465","2,971,798","3,854,610"
"3,4-methyleneheptanoate",,"1,365,113","1,447,900",,"2,919,183","1,894,204","2,642,217","3,191,691","2,136,267","8,127,480","6,299,876","918,327",,"384,277",,
"3,4-methyleneheptanoylcarnitine","1,124,278","546,355","1,195,606","575,790","1,511,580","1,081,993","1,000,042","1,439,379","1,064,379","879,588","1,056,969","1,049,388","537,017","696,336","962,307","729,501"
3-(3-hydroxyphenyl)propionate sulfate,"285,743","405,597","352,464","439,040","99,189","106,523","128,974","408,974","276,699",,"76,578","35,767","209,263","1,165,187","153,101","1,020,494"
3-(4-hydroxyphenyl)lactate,"9,462,973","7,918,700","13,684,900","7,634,086","9,443,160","16,520,082","15,411,343","12,671,320","13,529,977","16,949,952","12,820,504","13,733,455","5,349,650","3,982,272","4,467,457","7,911,680"
3-aminoisobutyrate,"725,858","795,999","1,222,121","910,633",,"589,598","1,146,511","1,812,805","1,020,658","962,870","939,542","1,017,272",,"490,458",,"896,281"
3-hydroxy-2-ethylpropionate,"683,929","673,179","457,937","504,019","2,212,189","1,751,196","2,536,872","1,206,628","1,085,793","1,528,779","1,299,588","1,254,153","858,807","535,732","546,806","600,233"
3-hydroxy-3-methylglutarate,"15,799,442","14,203,162","20,295,362","17,134,428","35,933,736","21,801,558","24,538,268","21,070,890","12,378,322","15,180,196","14,330,816","12,264,068","10,271,569","11,620,915","8,902,863","20,274,476"
3-hydroxybutyrate (BHBA),"55,318,500","20,126,080","53,351,872","41,114,828","311,465,536","84,436,864","75,717,096","90,326,032","43,401,516","43,536,640","43,267,328","26,152,380","78,525,336","61,214,860","55,856,224","65,864,576"
3-hydroxybutyrylcarnitine (1),"5,541,462","1,965,697","5,795,033","4,286,199","16,699,636","7,284,897","4,495,174","9,247,974",,"3,560,628","3,457,966","2,982,948","13,371,634","4,462,766","5,120,792","9,223,574"
3-hydroxybutyrylcarnitine (2),"9,894,491","6,577,504","15,654,282","7,376,731","18,591,488","13,960,498","11,750,066","20,592,160","8,315,437","9,487,482","12,047,015","12,600,625","9,080,011","5,181,306","7,446,775","9,997,043"
3-hydroxydecanoate,"3,768,550","2,505,484","4,098,461","2,128,046","7,253,565","6,181,639","5,073,395","6,059,586","5,266,001","2,781,872","2,923,934","3,908,743","1,253,476","1,690,381","2,007,568","2,087,350"
3-hydroxyisobutyrate,"14,735,959","6,197,821","16,169,959","11,793,538","43,687,692","31,107,650","52,155,712","20,697,954","29,967,402","32,604,116","28,468,428","27,297,734","15,394,911","17,768,406","10,320,648","25,978,346"
3-hydroxylaurate,"4,868,621","2,944,355","5,162,090","3,144,647","13,120,994","8,151,749","8,298,112","9,924,716","9,975,879","4,102,803","4,442,098","5,648,949","1,467,282","2,485,992","4,246,842","3,373,213"
3-hydroxymyristate,"5,892,148","3,216,571","5,879,725","3,613,515","11,501,045","7,796,691","8,562,561","9,394,630","10,154,501","4,201,979","3,787,116","5,491,119","2,243,031","3,441,071","5,449,925","4,649,578"
3-hydroxyoctanoate,"2,545,544","1,383,537","2,365,039","1,241,345","4,214,175","3,572,308","3,112,948","4,054,619","3,040,707","2,070,286","2,091,468","2,140,857","844,595","987,029","1,128,967","1,231,615"
3-hydroxyphenylacetate sulfate,"40,045","29,201","56,043","27,512",,,,,,,,,"59,897","63,365","49,948","130,050"
3-hydroxypyridine sulfate,"300,499","105,258","175,703","135,332","25,640",,"20,219","28,422","29,482","24,635","47,134","15,893","163,009","27,070","83,463","110,576"
3-hydroxysebacate,"103,994","76,150","94,580",,"139,079","131,553","173,405",,"102,629","141,534","88,397","132,679",,,,"114,467"
3-hydroxystearate,"3,551,927","2,156,003","2,520,756","1,991,928","2,219,256","2,747,888","4,114,767","2,700,805","2,137,408","2,728,872","1,864,094","2,696,391","4,335,368","5,709,689","4,917,636","5,008,256"
3-indoxyl sulfate,"24,760,572","30,970,820","33,173,798","38,353,280","47,300,364","23,581,764","45,070,384","21,842,868","17,060,100","25,847,856","32,838,186","22,329,974","20,384,478","37,100,300","36,647,576","55,825,092"
3-methoxytyrosine,"1,587,446","1,371,478","1,354,099","1,912,799","1,168,584","1,081,068","1,587,188","2,018,212","1,232,801","580,760","804,049","924,363","1,112,149","895,722","970,176","1,483,327"
3-methyl-2-oxobutyrate,"4,583,905","3,874,735","3,660,310","3,535,963","4,821,785","5,471,146","6,359,894","5,294,442","5,145,147","5,187,861","5,237,904","8,789,971","6,360,201","4,129,755","5,518,745","7,334,401"
3-methyl-2-oxovalerate,"13,493,781","10,792,438","10,220,949","7,477,831","10,877,824","13,101,044","16,905,206","18,502,480","10,511,930","11,359,805","13,542,220","28,366,922","18,534,964","7,657,451","10,047,207","22,266,458"
3-methylglutaconate,"366,607","335,169","627,115","471,010","930,206","1,123,958","1,420,013","523,386","748,131","905,247","773,865","719,532","178,363","248,213","203,088","305,575"
3-methylhistidine,"46,104,812","57,956,016","66,449,444","54,318,844","54,251,860","75,910,688","71,629,336","63,715,508","86,264,648","71,284,224","59,954,596","74,433,736","38,165,748","24,783,106","25,613,666","37,402,624"
3-phenylpropionate (hydrocinnamate),"2,138,557","1,017,373","1,087,166","957,751",,,,"186,266","189,947","122,943","236,985","89,010","841,207","2,689,752","937,654","1,303,860"
3-phosphoglycerate,"235,305","191,756","137,802","298,905","246,471","272,794","204,321","687,772","148,900","53,908","289,036","116,384","380,540","1,085,302","743,743","1,445,497"
3-ureidopropionate,"50,085,696","24,954,588","48,108,300","47,362,220","173,761,584","82,669,536","104,053,568","69,194,560","70,217,296","86,690,648","67,197,072","64,565,624","78,064,608","32,968,304","27,721,868","72,340,440"
4-acetamidobutanoate,"7,318,448","6,465,448","9,028,647","8,620,368","7,452,003","9,816,643","8,483,668","10,472,396","7,733,705","9,285,582","8,595,409","5,766,219","5,286,104","4,808,528","4,939,846","8,610,911"
4-ethylphenol glucuronide,"4,886,269","4,354,201","4,185,761","2,533,973",,,,,,,,,,,,
4-ethylphenylsulfate,"43,926,336","38,218,788","41,235,728","24,743,692","368,384","1,047,167","489,996","505,937","442,471","251,537","267,676","444,012","185,459","21,159","19,891","422,875"
4-guanidinobutanoate,"14,281,816","19,724,672","19,668,324","14,786,512","3,174,100","2,912,799","4,427,935","2,608,520","3,956,774","2,789,123","3,695,707","2,388,823","2,734,214","5,250,220","3,909,599","5,707,230"
4-hydroxybutyrate (GHB),"4,082,013","3,524,270","13,722,268","5,350,326","5,348,679","7,316,141","12,209,851","8,300,219","10,251,210","6,711,203","5,771,926","3,011,382","2,531,660","2,418,120","4,453,665","3,569,374"
4-hydroxycinnamate,"842,100","396,497","732,568","1,189,784","135,763","212,259","341,677","128,637","291,525","313,057","1,023,624","236,080","2,775,222","465,016","149,547","400,304"
4-hydroxycinnamate sulfate,"104,172","86,542","129,163","204,919","30,470","60,659","53,126",,"64,506","77,422","248,478","48,101","926,958","140,613",,"126,405"
4-hydroxyhippurate,"256,186","189,733","388,321","302,596","170,020","257,585","286,070","140,779","204,318","222,740","227,169","150,347","303,972","144,049","128,124","195,803"
4-hydroxyphenylpyruvate,"2,871,778","1,749,296","4,280,315","2,404,774","2,511,100","4,252,613","4,285,961","3,127,493","6,329,497","7,170,930","4,550,250","5,612,822","2,884,723","496,438","1,209,557","1,783,271"
4-imidazoleacetate,"5,096,562","3,487,547","4,271,385","3,522,926","2,733,291","2,704,680","3,005,914","2,608,361","3,280,106","2,590,214","3,594,927","2,556,815","3,535,400","3,605,639","3,155,109","7,165,900"
4-methyl-2-oxopentanoate,"8,590,216","7,708,359","5,991,412","5,053,327","6,209,900","7,060,490","10,903,539","13,000,820","6,710,921","6,930,145","8,137,178","19,728,400","13,292,173","5,503,484","5,869,907","14,575,346"
4-methylcatechol sulfate,"715,891","358,900","413,179","434,640","1,024,869","465,773","1,747,591","490,836","967,552","1,030,592","867,997","1,925,359","214,461","193,491","190,791","602,665"
4-vinylphenol sulfate,"8,664,099","5,902,021","8,903,028","6,319,770","7,434,836","35,388,604","17,164,328","13,291,775","14,740,238","13,272,680","16,566,197","11,044,891","4,886,780","2,509,275","1,120,058","2,823,328"
5-dodecenoate (12:1n7),"2,830,909","1,448,230","2,598,350","2,979,773","2,027,707","1,809,467","2,484,949","3,638,204","1,978,178","581,712","1,125,390","1,367,337","1,327,106","1,459,855","3,247,354","2,874,180"
5-hydroxyhexanoate,,,"94,515",,"333,373",,"114,061",,"161,546",,,"151,567","188,911","153,033","154,424","226,895"
5-hydroxyindoleacetate,"1,545,493","1,189,768","1,931,121","874,043","1,630,620","1,653,570","891,952","1,775,413","748,819","1,049,096","1,344,065","968,785","787,531","829,371","800,974","1,146,161"
5-hydroxylysine,"7,194,921","5,370,618","5,726,250","6,960,518","5,927,942","4,790,989","5,379,037","6,573,591","5,190,147","5,455,130","4,891,680","6,568,246","6,970,300","6,881,154","7,039,634","14,609,970"
5-methyl-2'-deoxycytidine,"2,956,569","2,577,661","2,214,932","1,988,128","2,450,631","1,583,550","2,623,349","1,662,613","1,346,541","1,421,499","2,090,864","1,942,973","1,809,080","2,113,374","2,002,983","3,065,030"
5-methylcytidine,"168,226","159,477","156,249","124,697","192,750","196,225","193,271","157,578","120,316","127,093","134,550","124,419","45,672","73,947","93,598","133,871"
5-methylthioadenosine (MTA),"6,450,158","5,354,515","6,190,332","4,637,347","6,038,326","6,525,040","6,776,026","3,720,876","8,583,080","7,557,888","6,798,419","6,641,124","4,027,502","3,312,303","3,091,226","7,208,939"
5-methyluridine (ribothymidine),"135,827","86,373","102,382","123,502","158,188","148,685","140,980","155,230","104,532","74,030","93,731","96,070","118,022","75,235","63,316","120,619"
5-oxoproline,"27,037,250","24,412,420","26,314,526","22,366,706","19,005,080","21,937,324","23,125,576","30,986,656","18,209,720","14,902,407","17,899,128","18,932,228","10,145,860","14,636,144","11,853,464","20,029,220"
6-oxopiperidine-2-carboxylic acid,"929,585","1,080,669","910,059","1,088,318","2,527,895","2,625,603","3,126,781","1,975,080","2,092,350","1,882,547","2,659,779","2,570,098","1,010,507","807,822","517,638","277,521"
7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca),"1,637,234","1,094,158","866,780","1,101,325","1,795,137","1,812,835","1,872,585","1,078,568","1,787,794","2,717,774","1,470,230","2,129,334","590,886","630,909","832,433","644,036"
7-hydroxycholesterol (alpha or beta),"319,309",,"161,567","233,247","170,594","278,918","233,902","228,474","286,266","369,522","261,334","255,227","251,243","219,575","212,301","121,348"
7-ketodeoxycholate,"21,987","210,700",,"50,297","332,213","138,177","260,705","204,519","103,943","152,191","221,699","94,991","746,251","363,346","409,606","2,086,798"
7-methylguanine,"187,101","140,371","180,691","147,951","192,275","196,949","187,977","194,850","158,165","155,484","178,914","155,787","154,796","126,149","154,060","255,110"
"9,10-DiHOME","1,208,811","898,940","743,758","978,822","1,475,173","312,393","754,845","520,773","932,966","290,511","214,685","192,309","451,467","684,877","867,400","764,415"
acetylcarnitine,"2,147,244,800","1,376,985,856","2,078,492,160","1,651,322,880","1,787,225,472","1,126,442,240","960,678,592","1,413,757,696","1,015,008,000","963,705,920","1,018,982,272","976,325,312","1,597,644,544","1,345,170,432","1,469,544,064","1,802,216,704"
aconitate [cis or trans],"25,478,874","14,347,085","21,265,756","19,251,806","26,454,210","22,936,406","27,884,268","33,260,176","17,530,168","20,319,122","22,189,406","21,955,104","19,196,820","19,791,840","21,096,096","26,526,692"
adenine,"1,594,418","1,755,448","1,449,464","1,877,149","1,624,735","1,281,307","1,674,822","1,258,721","3,208,959","2,372,476","1,654,691","1,700,917","1,894,322","2,692,568","2,476,962","2,261,548"
adenosine,"496,673","169,804",,,"513,662",,"258,466","329,423","595,279","726,204","379,072",,"288,364","779,657","272,570","640,871"
adenosine 5'-monophosphate (AMP),"469,852","373,277","397,776","372,260","312,582","235,164","189,064","382,159","814,237","236,031","272,589","197,135","83,268","254,452","184,088","388,525"
adipoylcarnitine,"929,943","592,790","1,117,552","887,928","3,123,833","2,166,129","2,284,162","2,732,760","1,756,452","2,475,643","2,104,210","1,845,740","1,245,286","773,307","830,089","1,578,828"
adrenate (22:4n6),"45,387,576","50,953,956","48,227,764","53,968,192","78,363,320","92,025,576","107,126,808","98,443,160","81,603,720","60,413,296","71,142,272","76,773,360","63,515,740","47,721,232","118,935,296","91,470,736"
alanine,"1,184,504,832","1,151,136,768","1,224,322,944","1,072,501,632","949,738,944","1,091,940,352","1,220,941,056","1,244,637,184","1,312,112,768","1,243,914,624","1,339,396,864","1,396,321,152","1,135,351,040","992,325,888","955,312,320","1,135,839,616"
allantoic acid,"1,316,130","1,131,832","1,392,924","1,581,042","569,996","724,127","715,219","684,987",,"414,487","534,701",,"1,728,673","1,539,087","1,274,794","2,721,644"
allantoin,"42,931,096","32,185,320","38,990,044","47,867,616","37,267,384","43,213,504","39,781,380","42,467,868","20,138,028","24,623,700","27,373,766","18,187,814","46,717,724","40,434,388","33,411,584","71,704,336"
alpha-hydroxyisocaproate,"1,574,850","1,059,588","784,014","870,061","1,366,622","1,749,366","2,375,425","1,477,077","1,468,171","1,585,025","1,495,887","1,530,747","704,001","586,051","740,494","1,017,392"
alpha-hydroxyisovalerate,"9,982,266","7,507,863","7,007,546","6,143,027","16,230,173","16,958,812","21,107,084","19,188,358","13,319,367","17,781,720","14,644,830","13,626,699","4,291,730","4,738,189","4,999,569","6,445,769"
alpha-ketobutyrate,,,,,"573,595","486,881","399,921","398,016",,"593,064","391,031","341,759",,,,"309,515"
alpha-ketoglutarate,"139,577,312","108,900,024","168,432,064","144,584,736","149,646,320","168,744,976","199,319,536","192,383,728","149,625,104","137,769,536","181,257,632","121,193,760","205,456,864","211,656,944","219,542,592","318,564,864"
alpha-muricholate,"6,446",,,,"133,051","18,680","87,965","25,886","36,779","94,551",,,"49,496","49,262","16,122","178,026"
alpha-tocopherol,"473,413,216","404,802,496","417,139,680","404,215,072","941,555,584","851,409,472","741,475,136","458,330,112","678,824,896","851,053,760","578,948,480","573,126,208","222,316,272","19,919,334","173,588,224","8,346,679"
anserine,"1,368,085","1,653,628","1,600,915","1,858,412","1,685,121","1,712,940","2,051,770","2,077,538","1,306,755","1,303,046","1,119,115","1,970,016","1,188,539","680,339","952,980","913,374"
anthranilate,"3,631,719","3,857,692","3,337,543","4,359,923","3,449,474","4,083,287","5,141,256","3,410,886","3,592,191","4,383,600","3,608,183","4,396,553","1,918,414","2,842,176","2,097,967","3,140,325"
arabitol/xylitol,"1,226,834","1,192,655","1,250,066","1,360,444","886,762","823,814","852,644","776,465","861,964","633,463","561,882","579,167","646,636","748,359","629,593","1,128,692"
arabonate/xylonate,"10,945,782","8,524,664","12,775,023","7,082,858","6,715,232","10,486,182","8,280,195","9,875,036","7,965,828","7,237,455","5,743,237","6,015,350","4,464,532","5,765,331","4,080,679","8,376,958"
arachidate (20:0),"50,887,600","34,217,296","39,172,792","38,994,252","58,493,644","54,786,668","73,790,416","68,415,624","69,376,560","46,805,216","35,142,016","45,084,648","16,053,573","23,274,180","26,139,640","36,349,624"
arachidonate (20:4n6),"613,655,360","624,363,456","542,305,728","598,442,624","710,580,416","851,689,984","1,059,078,144","804,669,504","831,715,584","613,026,688","657,538,944","766,945,472","284,067,392","324,302,176","324,969,824","394,145,472"
arginine,"2,132,130,432","2,030,283,136","2,010,165,504","1,709,379,200","2,009,258,496","1,583,333,120","1,475,113,344","1,522,058,112","2,038,906,368","2,082,726,016","2,109,641,344","2,196,717,568","1,508,338,176","988,978,816","1,430,022,912","1,186,317,184"
argininosuccinate,"6,941,328","4,995,284","10,134,483","4,367,720","7,087,147","8,252,126","7,694,582","9,392,184","6,086,915","7,971,401","7,924,425","7,818,454","6,219,216","4,248,053","4,470,058","9,671,181"
ascorbate (Vitamin C),"21,227,236","6,654,149","37,277,196","14,654,939","45,576,140","26,313,530","30,195,680","26,939,070","12,265,036","38,441,544","14,574,553","30,809,946","6,555,735","967,780","942,658","1,351,726"
asparagine,"390,401,696","372,776,416","351,585,568","286,288,512","284,145,568","384,183,680","400,846,656","446,005,312","444,419,744","359,037,024","410,480,512","501,681,024","268,223,472","178,367,248","156,267,776","224,775,648"
aspartate,"191,439,872","144,872,912","173,295,136","118,966,088","133,202,936","183,273,040","132,386,928","288,235,360","157,937,152","114,970,984","136,193,344","132,499,616","66,777,632","63,925,852","71,829,584","90,303,312"
azelate (nonanedioate),"1,206,284","864,686","901,737","775,254","6,216,812","859,341","1,970,461","591,915","1,100,112","503,894","503,641","625,512","574,211","294,382","499,260","891,564"
behenoyl sphingomyelin (d18:1/22:0)*,"133,927,056","117,994,728","124,480,640","140,778,352","268,001,632","433,526,464","341,661,376","353,546,528","144,244,912","201,880,912","152,363,824","162,601,616","93,770,968","91,706,960","80,531,056","118,881,240"
beta-alanine,"69,282,464","53,960,800","46,004,480","50,252,340","48,657,984","44,633,376","48,204,380","55,380,748","46,867,720","38,655,472","40,615,348","47,325,840","35,310,180","40,803,168","34,837,804","52,726,616"
beta-hydroxyisovaleroylcarnitine,"11,347,347","7,353,787","9,886,904","9,209,332","9,801,799","8,232,010","8,527,877","12,644,584","7,767,953","9,692,498","9,372,658","9,166,867","7,980,682","6,815,985","7,009,112","11,784,363"
beta-muricholate,"278,337","805,313","487,368","371,426","5,139,991","1,175,930","2,422,517","939,537","1,524,388","2,954,682","2,223,463","1,463,226","3,498,281","2,230,027","1,541,618","6,956,861"
beta-sitosterol,"1,498,911","1,386,589","1,230,170","1,489,011",,,,,"71,117",,,,"668,499","861,176","1,027,051","1,306,512"
betaine,"1,712,456,320","1,526,902,528","1,463,467,648","1,166,128,640","1,174,931,840","1,100,389,120","1,027,140,032","1,256,249,728","1,295,154,560","1,142,119,936","1,391,837,184","1,346,325,504","1,518,622,720","1,262,701,824","1,268,039,296","1,693,974,784"
"bilirubin (E,E)*","187,619","69,325","106,891","129,752","59,390","105,720","111,534","148,126","111,055","68,931","102,836","34,954","48,332","35,328","101,786","68,077"
"bilirubin (E,Z or Z,E)*","454,594",,"271,019","177,540","401,206","280,090","506,696","447,299","311,411","470,692","273,352","398,213",,,,
"bilirubin (Z,Z)","537,101","230,965","270,635","332,049","172,105","237,086","200,176","456,134","227,659","196,865","285,228","166,148","216,268",,"31,174",
biliverdin,"2,271,150","3,119,781","1,606,687","3,112,966","1,206,410","3,224,747","1,762,134","3,155,684","1,132,564","826,035","2,376,358","1,128,353","6,191,052","4,453,284","5,259,309","6,126,349"
biotin,"156,751","229,965","167,385","154,449","166,135","293,941","820,885","164,448",,,,"128,975","330,344","192,521","226,782","606,861"
butyrylcarnitine,"119,843,880","135,563,024","199,139,376","125,800,264","104,727,320","106,525,384","117,433,184","87,634,176","170,235,792","156,613,408","117,144,272","94,409,192","35,991,948","44,495,152","71,457,504","51,916,200"
butyrylglycine,"4,397,527","3,024,890","7,401,908","5,337,022","7,098,225","2,325,090","1,707,784","2,827,326","2,957,540","4,352,410","2,172,213","1,589,466","931,936","714,471","949,135","1,476,284"
C-glycosyltryptophan,"212,047","165,224","160,592","171,822","183,573","186,857","196,302","260,229","191,960","204,836","173,398","254,254","206,747","144,998","145,985","350,138"
campesterol,"5,101,745","5,156,732","4,487,205","5,319,997","563,920","614,704","496,518","594,883","559,721","691,385","510,057","380,598","3,049,893","3,047,109","3,668,707","4,325,582"
caprate (10:0),"5,135,124","4,521,892","4,175,419","3,990,287","8,075,864","5,391,128","11,304,393","10,519,242","10,869,807","5,893,077","7,512,931","8,009,046","4,597,774","5,388,696","4,333,013","5,513,389"
caprylate (8:0),"1,150,681",,"3,494,797","1,162,053","1,547,765","2,094,441","1,454,584","3,726,387","2,268,411",,"1,092,570","1,156,532","1,512,278","1,246,344","1,450,353",
carnitine,"1,422,646,016","1,419,193,088","1,416,818,432","1,513,249,408","670,795,200","901,656,896","926,112,000","1,217,321,856","987,903,680","1,225,411,840","1,221,170,176","1,219,841,152","1,470,870,400","1,335,677,312","1,152,022,400","1,499,608,832"
carnosine,"17,570,652","22,035,612","18,922,036","21,681,088","14,342,920","14,850,478","19,627,364","24,132,034","16,950,506","13,611,346","11,977,936","24,508,352","19,121,808","14,658,527","16,489,536","38,206,960"
catechol sulfate,"8,867,768","4,886,595","6,330,415","5,396,014","317,667","238,530","301,786","685,370","625,895","574,809","878,275","550,213","1,885,893","10,683,022","2,034,350","6,669,260"
cholate,,,,"38,370","231,736","82,278","228,216","370,906","664,030","147,143","135,644","79,589","1,454,364","1,287,025","1,264,355","6,926,999"
cholesterol,"249,047,808","240,319,984","230,705,920","234,288,624","396,158,944","354,861,440","337,731,424","400,490,464","375,245,760","428,582,592","371,957,600","299,204,768","167,297,728","175,660,016","186,439,968","245,295,136"
choline,"1,570,292,352","1,429,281,024","1,451,348,480","1,293,445,248","1,548,738,048","1,590,899,072","1,509,787,776","1,665,372,544","1,402,075,520","1,104,893,184","1,292,473,600","1,240,932,480","688,875,968","699,336,448","748,226,944","1,007,026,240"
choline phosphate,"33,028,840","29,922,334","43,802,288","25,328,858","37,428,772","39,543,968","26,786,924","60,924,992","40,746,492","39,016,256","36,967,308","31,005,622","32,728,868","18,792,060","15,578,977","27,628,920"
cinnamoylglycine,"4,530,689","2,574,267","6,179,649","2,889,352","98,586","37,977","39,047","223,175","193,452","70,155","158,404","59,774","2,710,924","5,378,244","1,990,165","10,313,751"
cis-4-decenoyl carnitine,"7,165,873","4,461,109","5,858,892","8,249,648","4,770,905","4,433,746","4,443,033","4,006,029","2,781,787","3,353,902","4,738,543","2,364,334","5,361,346","5,601,757","13,808,176","8,126,283"
cis-urocanate,"1,300,609","605,882","552,422","2,101,256","838,367","463,370","698,458","429,016","687,774","710,210","768,635","484,111","3,128,680","3,717,784","4,181,874","3,387,434"
citrate,"206,214,848","121,080,384","181,318,224","164,002,704","218,894,176","187,219,376","234,341,136","158,519,200","184,004,896","185,322,320","185,653,376","151,174,144","182,004,208","198,205,616","211,674,096","249,975,920"
citrulline,"624,073,984","657,182,080","589,754,880","469,913,888","528,513,344","690,031,232","713,420,288","637,721,344","687,967,616","667,025,024","634,381,056","670,835,392","533,036,384","392,534,496","360,282,816","615,391,552"
corticosterone,"1,293,025","1,147,024","1,392,747","1,824,597","5,708,086","1,772,759","4,640,759","460,013","1,593,365","4,337,614","3,897,149","635,755","4,182,696","3,144,274","2,847,381","2,203,172"
creatine,"2,212,955,392","2,214,963,712","2,733,877,760","2,106,796,416","2,132,522,880","2,175,255,552","2,030,339,200","2,704,205,824","2,191,469,824","2,979,565,312","2,814,043,648","2,955,361,280","3,286,502,912","1,915,678,720","2,081,845,376","2,831,309,056"
creatine phosphate,"316,859","421,511","337,581","358,538","538,125","415,330","442,875","595,909","324,843","376,534","333,367","538,905","716,128","441,857","556,360","847,418"
creatinine,"250,318,960","193,118,512","222,061,760","198,701,040","182,665,648","135,923,536","195,371,936","144,201,600","90,115,496","147,882,224","175,135,728","159,041,632","220,356,736","201,884,528","208,877,488","318,952,416"
cysteine,"2,933,136","2,567,264","2,425,685","2,100,967","1,471,513","1,336,174","1,624,334","1,214,974","2,198,317","1,674,130","1,419,783","1,478,969","1,213,105","1,367,887","1,633,599","2,253,279"
cysteine s-sulfate,"190,337","193,904","275,710","368,480","692,215","690,564","367,281","627,706","629,083","933,209","819,839","505,973","247,734","535,352","360,894","500,337"
cysteine-glutathione disulfide,"89,232,992","87,499,608","142,128,224","74,640,424","82,638,400","81,220,960","73,227,616","100,890,712","54,663,784","88,859,960","96,095,336","73,952,120","66,671,520","42,165,864","30,583,592","82,999,464"
cystine,"464,456","1,499,884","1,171,391","456,397",,,"383,487","525,661",,,,"1,000,966","15,513,214","12,155,793","11,074,438","3,260,966"
cytidine,"180,706,256","126,310,816","146,433,440","110,451,776","180,751,456","182,390,768","142,244,736","173,184,896","144,248,256","117,658,040","145,906,640","114,164,984","37,308,572","74,354,120","57,293,720","102,923,920"
cytidine 5'-monophosphate (5'-CMP),"1,133,707","606,074","840,273","444,598","1,814,663","722,430","880,375","1,897,635","3,390,438","2,226,655","1,355,887","1,196,551","586,464","835,850","453,538","1,470,692"
cytosine,"470,404","448,843","396,783","393,769","241,668",,,,,,,,"468,319","1,057,820","739,513","1,444,455"
daidzein,"1,000,484","819,823","1,054,833","1,939,404","130,887",,,,,,,,,"191,848","34,415","72,498"
daidzein sulfate (2),"2,747,679","2,060,938","2,890,659","2,580,628","294,741",,,,,,,,,"293,456",,"143,714"
decanoylcarnitine,"5,757,807","2,961,686","6,188,057","4,547,947","7,208,697","6,383,340","6,730,241","9,249,615","5,371,191","4,030,298","4,525,584","5,352,791","3,781,833","3,037,026","8,642,361","5,459,674"
deoxycarnitine,"72,841,120","43,360,476","52,264,288","45,190,748","44,595,792","26,906,560","28,858,422","39,502,316","26,507,184","22,114,828","29,584,760","38,418,608","51,597,140","48,439,844","53,390,328","76,630,584"
deoxycholate,"1,142,335","1,509,030","1,071,113","922,815","3,843,170","1,359,052","3,786,885","779,828","1,121,232","1,293,636","1,364,599","1,267,548","4,315,309","2,155,742","1,664,757","3,401,429"
dihomo-linoleate (20:2n6),"86,538,504","62,586,200","82,300,304","64,512,232","118,323,248","96,052,280","168,680,336","115,192,936","168,465,328","89,032,776","82,275,296","105,669,504","24,930,744","31,992,630","37,980,856","49,965,876"
dihomo-linolenate (20:3n3 or n6),"85,411,504","81,519,200","96,173,904","87,706,496","58,295,276","76,447,248","94,824,888","91,077,952","82,594,832","59,875,144","60,394,604","65,810,140","37,986,788","57,195,208","62,866,000","69,648,128"
dihydrobiopterin,"1,918,611","1,504,967","1,758,586","1,710,578","1,828,762","1,626,251","1,882,602","1,293,904","1,622,357","1,373,319","1,053,325","1,418,441","1,244,010","1,140,379","1,585,375","1,387,609"
