Sample,ND_Veh_1,ND_Veh_2,ND_Veh_3,ND_Veh_4,HFD_Veh_1,HFD_Veh_2,HFD_Veh_3,HFD_Veh_4,HFD_Tx_1,HFD_Tx_2,HFD_Tx_3,HFD_Tx_4,Bsl_1,Bsl_2,Bsl_3,Bsl_4
1-arachidonoyl-GPE (20:4)*,"80,505,872","86,205,088","79,150,768","93,906,760","96,479,248","106,631,536","128,101,712","142,675,328","101,284,728","81,229,632","118,760,048","110,410,832","54,356,592","58,902,984","59,924,756","73,086,752"
1-arachidonoyl-GPI (20:4)*,"31,248,318","23,314,640","21,500,132","25,335,456","28,235,326","35,740,656","38,679,180","36,534,524","41,034,076","32,974,534","47,990,248","36,268,224","11,502,956","20,176,964","15,719,437","18,723,004"
1-arachidonylglycerol (20:4),"894,846","1,080,609","641,502","1,334,888","1,166,976","902,726","1,535,878","1,056,029","1,511,868","832,597","926,901","775,210","630,438",,"324,444","580,959"
1-dihomo-linolenylglycerol (20:3),"423,754","371,214","319,200","440,346","187,751","177,495","264,413","110,325","500,326","316,643","246,912","84,392","254,104","265,235","252,696","322,590"
1-dihomo-linoleoylglycerol (20:2),"240,914","256,968",,"292,352","155,369","216,517","131,725",,"417,203","390,258","80,960",,"145,748","109,738","195,829","287,706"
1-docosahexaenoylglycerol (22:6),"200,200","315,963",,"481,778","363,472","70,478",,,"528,336",,"376,290",,"444,800","340,149","365,306","331,063"
1-lignoceroyl-GPC (24:0),"6,092,484","5,506,528","5,079,459","5,546,498","6,337,956","6,674,909","6,333,560","5,748,507","5,219,753","5,250,015","5,463,743","5,014,333","3,903,483","4,274,288","4,013,774","5,785,678"
1-linolenoyl-GPC (18:3)*,"27,875,362","26,609,804","22,005,832","24,231,144","26,688,852","20,044,258","25,140,566","27,432,456","30,589,208","27,320,272","24,472,340","35,210,460","13,009,358","17,632,336","17,086,860","21,118,062"
1-linolenoylglycerol (18:3),"1,297,917","1,429,007","1,091,601","2,137,865","1,023,173","541,592","986,845","166,228","1,576,506","1,101,300","660,584","512,205","1,274,429","1,207,181","1,217,796","1,160,987"
1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4)*,"108,917,888","105,267,672","95,385,512","93,832,688","136,240,528","145,517,888","158,679,696","176,138,560","159,820,656","137,906,288","180,718,448","159,273,888","47,597,576","52,991,760","57,689,552","70,813,472"
1-linoleoyl-GPA (18:2)*,"1,326,124","1,280,688","1,116,687","1,107,791","1,708,310","1,480,475","2,081,980","1,376,058","1,706,459","1,537,327","1,497,601","1,631,881","649,179","668,470","575,181","844,584"
1-linoleoyl-GPC (18:2),"1,702,860,416","1,674,774,656","1,531,156,224","1,583,194,496","1,891,517,312","1,601,032,448","1,896,550,784","1,750,842,496","1,934,999,552","1,816,583,552","1,769,963,520","2,248,349,184","1,112,341,632","1,247,341,440","1,182,183,168","1,416,364,928"
1-linoleoyl-GPE (18:2)*,"63,421,404","80,500,680","61,012,764","59,460,464","82,113,608","59,551,864","104,188,896","87,617,456","96,195,448","77,831,024","91,810,360","103,410,136","25,965,968","28,410,538","26,002,540","37,266,224"
1-linoleoyl-GPI (18:2)*,"5,340,990","4,572,085","4,048,269","5,183,102","4,296,170","3,622,916","5,382,683","4,235,404","5,467,391","4,405,069","5,557,961","5,163,064","1,116,745","2,742,809","2,052,416","2,354,827"
1-linoleoyl-GPS (18:2)*,"639,785","371,351","322,018","313,828","327,914","389,040","382,208","427,690","699,728","477,616","381,950","640,761","173,978","466,903","64,875","711,614"
1-linoleoylglycerol (18:2),"54,088,976","51,628,960","46,015,364","84,162,336","40,429,304","29,109,716","40,167,364","20,145,830","61,581,160","50,218,080","32,426,724","22,890,100","38,754,300","34,125,864","35,180,788","42,715,992"
1-methylguanidine,"304,739",,"84,955",,"147,297",,,,,,,"87,057","178,135","155,868","182,289","265,136"
1-methylhistidine,"375,078,368","362,132,800","372,285,728","408,534,304","468,963,936","545,012,096","506,505,344","618,467,072","454,265,760","467,880,416","513,973,920","338,902,784","235,259,376","179,422,384","198,956,000","291,081,376"
1-methylimidazoleacetate,"8,159,710","7,889,239","11,229,671","11,232,949","13,879,068","15,514,002","12,261,008","12,113,781","8,188,183","12,392,458","14,706,979","7,826,044","21,935,976","9,494,948","6,725,386","16,685,114"
1-methylnicotinamide,"4,565,743","6,579,845","6,311,604","4,995,008","3,393,815","5,844,249","4,952,125","4,053,485","6,719,446","4,396,373","5,848,238","6,758,768","3,460,101","3,456,510","4,787,419","11,918,466"
1-oleoyl-2-linoleoyl-glycerol (18:1/18:2),"19,029,564","33,203,316","33,903,280","33,739,832","16,052,381","18,305,282","23,790,946","28,867,410","27,660,036","21,949,756","11,784,576","15,501,059","17,643,520","29,452,980","17,574,250","21,392,012"
1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*,"298,401,344","318,622,784","328,329,344","283,131,520","412,333,024","302,900,544","373,114,464","318,626,272","434,448,992","422,713,152","384,178,240","399,828,928","172,296,288","207,105,120","195,724,016","234,542,192"
1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*,"4,546,971","7,016,042","5,481,984","4,749,426","5,908,977","3,196,840","4,995,333","5,096,359","7,230,926","6,712,131","4,387,337","6,324,118","2,046,004","2,809,405","2,325,848","3,279,956"
1-oleoyl-3-linoleoyl-glycerol (18:1/18:2),"26,493,482","41,085,424","40,558,328","40,177,544","19,210,006","22,146,360","28,012,228","37,582,104","30,793,354","24,767,052","15,364,693","19,343,084","20,003,810","34,204,260","21,959,952","24,176,264"
1-oleoyl-GPC (18:1),"573,868,800","608,566,016","602,682,112","528,091,648","932,419,456","834,056,384","924,660,800","938,099,776","926,217,472","863,560,704","855,517,504","1,023,321,984","387,458,208","448,736,352","451,062,272","520,110,912"
1-oleoyl-GPE (18:1),"14,715,983","19,927,772","15,805,545","14,960,300","26,807,502","16,386,202","28,424,368","26,174,308","29,847,188","25,508,396","26,853,268","33,954,496","6,597,090","8,269,145","8,214,855","11,628,877"
1-oleoyl-GPG (18:1)*,"755,636","709,018",,"361,873","3,078,573","1,958,352","4,615,518","2,740,324","3,456,116","2,348,628","2,381,061","3,836,344",,,,
1-oleoyl-GPI (18:1)*,,"789,512",,,"1,030,455","1,118,016",,"1,179,255","1,420,728","2,127,317","2,193,380","1,569,467",,"640,108",,
1-oleoylglycerol (18:1),"31,180,352","40,632,996","27,125,354","35,209,176","52,997,312","45,165,144","46,479,048","23,221,896","91,533,232","97,413,496","41,172,528","29,852,994","29,753,648","23,408,868","27,541,868","34,252,440"
1-palmitoleoyl-2-linoleoyl-GPC (16:1/18:2)*,"161,008,560","205,160,864","166,896,560","137,890,816","143,375,824","92,224,320","117,215,856","130,919,424","145,409,056","144,905,776","113,791,840","143,697,888","74,554,888","112,443,512","98,514,240","127,133,256"
1-palmitoleoyl-2-oleoyl-glycerol (16:1/18:1)*,"301,445","877,568","1,191,129","511,770","562,522","282,332","767,470","766,887","1,778,915","833,669","256,007","556,840","555,138","1,181,609","643,857","659,262"
1-palmitoleoyl-3-oleoyl-glycerol (16:1/18:1)*,"477,552","505,152","508,444",,"179,764","531,630","369,986","1,094,158","568,780","324,418","473,292","810,896","239,452","645,165","359,525","188,751"
1-palmitoleoyl-GPC (16:1)*,"112,785,104","137,542,304","123,227,680","99,553,592","88,174,992","76,478,872","95,544,408","103,983,784","88,616,912","82,774,080","74,427,912","92,250,928","48,310,492","65,872,808","62,108,212","74,915,576"
1-palmitoleoylglycerol (16:1)*,"2,442,242","2,290,490","1,925,064","2,350,549","2,440,477","1,191,066","3,321,927","871,553","5,036,728","3,642,796","2,963,055","1,856,511","2,552,262","2,686,641","2,078,376","2,281,077"
1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4),"1,155,043,968","1,087,336,576","1,050,828,608","1,148,772,096","1,637,535,872","1,579,086,080","1,541,602,304","1,769,060,864","1,779,070,080","1,672,156,544","1,979,144,448","1,686,731,776","946,530,560","924,186,560","942,945,216","1,118,885,632"
1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*,"9,236,907","11,427,734","9,250,535","9,525,595","6,707,565","6,544,216","6,202,288","9,995,676","7,123,858","6,946,445","5,127,271","7,319,609","7,381,404","7,993,329","6,800,383","9,152,590"
1-palmitoyl-2-linoleoyl-glycerol (16:0/18:2)*,"6,042,134","9,688,387","8,153,709","12,050,525","7,041,944","7,049,181","10,885,546","8,771,322","13,903,278","10,623,783","6,070,901","7,313,474","7,114,617","10,678,366","6,561,371","7,730,758"
1-palmitoyl-2-linoleoyl-GPC (16:0/18:2),"2,527,972,352","2,504,005,888","2,429,182,464","2,509,436,416","2,601,880,320","2,470,468,608","2,442,653,696","2,730,052,096","2,563,294,976","2,620,936,960","2,437,786,368","2,613,369,344","1,985,213,696","2,139,597,056","2,021,986,944","2,354,887,680"
1-palmitoyl-2-linoleoyl-GPE (16:0/18:2),"9,467,566","14,189,039","10,117,777","11,009,452","7,428,099","5,608,462","6,953,005","8,212,114","7,277,085","7,399,638","4,984,896","7,128,286","5,239,085","6,317,007","5,037,369","7,040,581"
1-palmitoyl-2-oleoyl-GPC (16:0/18:1),"936,572,672","1,035,144,448","990,071,872","959,052,992","1,574,180,352","1,594,533,504","1,390,114,176","1,688,551,040","1,367,342,336","1,421,252,224","1,301,404,672","1,433,842,432","846,644,416","970,271,488","933,722,432","1,040,776,384"
1-palmitoyl-2-oleoyl-GPE (16:0/18:1),"1,634,214","2,305,640","2,074,241","1,602,362","3,541,422","1,761,519","2,921,261","3,116,019","3,605,160","3,662,430","2,439,866","3,196,610","1,009,456","1,305,966","861,877","1,267,357"
1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*,"29,244,482","32,279,136","27,683,216","24,611,136","60,573,584","35,094,800","45,408,940","51,716,020","74,996,080","75,602,112","57,547,708","64,469,012","33,171,438","37,409,640","30,137,826","36,661,984"
1-palmitoyl-2-stearoyl-GPC (16:0/18:0),"36,617,572","35,804,956","34,515,048","32,241,868","107,259,504","78,072,272","93,876,144","90,242,368","128,207,536","142,083,648","97,170,624","122,932,992","20,826,792","22,949,668","21,524,210","29,503,668"
1-palmitoyl-3-linoleoyl-glycerol (16:0/18:2)*,"11,059,787","14,912,714","11,615,182","16,833,606","9,359,002","9,083,598","13,989,189","16,630,794","16,285,251","14,171,325","8,519,186","10,115,715","9,925,790","15,016,357","10,290,253","10,969,300"
1-palmitoyl-GPA (16:0),"214,725","293,675","127,303","131,718","232,045","200,265","200,997","370,492",,"200,432",,"155,176","161,989","104,193","88,261","195,795"
1-palmitoyl-GPC (16:0),"2,402,988,800","2,409,180,672","2,319,204,608","2,421,840,128","2,297,368,064","2,567,839,744","2,497,879,040","2,654,326,784","2,236,756,480","2,196,567,808","2,148,908,032","2,277,648,640","1,634,933,504","1,726,057,088","1,692,755,200","1,978,450,688"
1-palmitoyl-GPE (16:0),"27,169,122","31,153,942","27,533,380","28,245,358","22,479,496","22,775,900","22,811,476","27,267,444","23,042,686","24,131,788","22,893,122","27,625,664","21,690,518","20,268,698","20,603,408","29,029,820"
1-palmitoyl-GPG (16:0)*,,"206,239",,"80,373","1,113,286","450,132","1,161,607","593,519","828,565","664,731","482,694","698,615",,,,"72,993"
1-palmitoyl-GPI (16:0)*,"1,505,289","1,717,284","719,790","1,292,196","499,312","1,021,872","959,735","1,141,243","785,076","841,365","2,177,616","856,033","480,456","2,006,590","739,066","570,726"
