Sample,201,203,204,206,207,208,209,243,213,215,217,218
Label,ND_Veh,ND_Veh,ND_Veh,ND_Veh,HFD_Veh,HFD_Veh,HFD_Veh,HFD_Veh,HFD_Tx,HFD_Tx,HFD_Tx,HFD_Tx
1-linoleoyl-GPC (18:2),"19,512,952","9,016,301","8,526,712","8,942,565","7,010,675","4,956,255","9,441,919","26,310,348","17,169,604","7,024,301","6,580,542","7,962,338"
1-linoleoyl-GPE (18:2)*,"2,711,893","2,080,936","1,840,546","2,280,854","636,136","659,046","942,986","1,740,722","1,371,424","962,226","928,408","1,177,564"
1-linoleoyl-GPI (18:2)*,"493,868","302,857",,"192,400",,,,,"737,625",,"71,232","186,498"
1-linoleoylglycerol (18:2),"4,878,235","2,133,235","1,946,380","3,017,738","655,613","685,820","903,551","610,190","2,773,618","834,263","1,279,857","1,305,449"
1-methylguanidine,"158,511",,"427,950","177,634",,,,,,,"80,513",
1-methylhistidine,"55,690,224","30,101,936","7,366,686","33,667,440","2,268,565","2,399,782","2,063,578","2,680,955","45,189,576","3,197,886","25,172,328","25,354,788"
1-methylimidazoleacetate,"2,772,853","1,266,156","1,906,193","3,261,380","1,036,218","1,100,836","853,513","1,214,668","2,274,343","2,199,916","1,781,747","1,435,977"
1-methylnicotinamide,"1,894,317","2,345,484","3,481,628","2,912,185","5,539,245","5,760,346","5,377,189","8,256,360","2,237,655","6,925,304","1,677,424","2,163,999"
1-oleoyl-2-linoleoyl-glycerol (18:1/18:2),"108,207,784","78,032,360","99,084,488","96,652,344","131,956,928","61,879,112","62,780,984","68,500,944","52,947,476","92,320,728","74,465,120","54,602,872"
1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*,"139,787,664","122,431,008","128,541,024","140,621,680","73,340,336","69,789,616","76,202,624","100,176,960","92,323,512","97,599,168","98,115,808","137,780,768"
1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*,"33,252,416","33,925,804","62,068,868","49,943,736","29,671,920","32,983,124","34,592,292","39,445,920","18,810,434","47,029,080","28,948,614","36,203,228"
1-oleoyl-3-linoleoyl-glycerol (18:1/18:2),"622,536,576","392,075,616","475,201,088","462,893,632","409,984,576","241,203,424","267,257,808","269,951,584","349,369,600","321,668,288","443,629,696","349,818,848"
1-oleoyl-GPC (18:1),"39,164,576","20,934,070","16,958,176","24,861,998","5,847,057","3,101,970","6,758,882","17,481,020","27,294,872","5,022,867","13,019,175","16,085,046"
1-oleoyl-GPE (18:1),"13,775,114","11,236,918","9,548,917","11,014,578","1,339,780","1,512,719","1,914,450","2,314,462","16,249,917","3,406,520","7,076,975","8,856,108"
1-oleoyl-GPI (18:1)*,"1,438,217","1,067,518",,"593,778",,,,,"3,471,165",,"387,732","849,778"
1-oleoyl-GPS (18:1),"1,050,262","620,819",,"395,236",,,,,"1,742,074",,"315,638","318,503"
1-oleoylglycerol (18:1),"6,143,520","2,912,170","4,327,320","4,143,301","1,766,293","2,475,711","3,824,483","1,571,451","7,962,861","5,065,860","3,767,305","3,215,984"
1-palmitoleoyl-2-linoleoyl-GPC (16:1/18:2)*,"18,693,520","13,088,871","11,687,098","15,561,174","5,603,541","4,837,215","5,255,697","7,215,193","8,227,782","5,709,672","8,103,362","8,322,807"
1-palmitoleoyl-2-oleoyl-glycerol (16:1/18:1)*,"11,961,549","10,242,325","11,473,050","7,825,783","24,203,458","12,620,480","14,090,384","14,462,727","16,410,925","17,934,212","17,923,280","13,772,984"
1-palmitoleoyl-3-oleoyl-glycerol (16:1/18:1)*,"30,703,440","24,028,258","27,916,840","16,975,178","55,237,736","31,925,934","43,140,416","36,968,176","57,856,716","42,052,416","65,484,908","56,299,828"
1-palmitoleoyl-GPC (16:1)*,"3,380,272","2,613,241","1,136,787","2,035,012","409,015","249,772","490,139","1,638,123","3,148,274","331,800","1,481,765","1,451,969"
1-palmitoleoylglycerol (16:1)*,"449,040","117,515","223,020","257,908",,,"192,119",,"966,968",,,"143,280"
1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4),"610,618,752","423,540,512","236,045,376","431,603,520","55,249,020","40,245,032","44,441,732","85,169,136","416,235,136","47,096,080","340,790,016","329,584,800"
1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*,"48,301,640","34,598,492","60,054,144","58,394,980","17,847,544","17,935,976","15,596,353","19,287,316","31,165,164","14,202,793","42,136,952","29,114,092"
1-palmitoyl-2-linoleoyl-glycerol (16:0/18:2)*,"42,600,528","29,625,650","46,353,164","46,028,224","49,357,052","24,807,572","22,567,720","30,133,942","15,636,565","34,925,608","18,789,792","15,607,924"
1-palmitoyl-2-linoleoyl-GPC (16:0/18:2),"549,471,616","485,011,872","399,027,904","516,042,720","185,673,232","161,778,736","178,947,792","292,368,096","316,527,008","188,792,624","270,228,800","306,355,616"
1-palmitoyl-2-linoleoyl-GPE (16:0/18:2),"30,701,890","32,420,562","48,480,344","43,013,584","25,434,804","27,416,888","27,660,696","29,502,848","12,855,361","29,027,772","19,002,456","19,986,956"
1-palmitoyl-2-oleoyl-GPC (16:0/18:1),"659,940,864","553,224,448","494,894,240","597,597,568","98,306,856","77,830,456","82,759,752","131,051,392","553,576,384","112,040,696","489,524,416","452,510,336"
1-palmitoyl-2-oleoyl-GPE (16:0/18:1),"23,534,906","20,391,566","28,859,838","27,950,108","9,674,345","8,442,743","9,023,076","10,475,643","16,492,634","13,368,946","21,527,592","17,732,208"
1-palmitoyl-2-oleoyl-GPG (16:0/18:1),"1,441,937","962,706","508,611","906,592","69,210","82,259","61,994","104,747","708,539","119,925","890,532","725,320"
1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*,"114,736,512","114,012,608","23,783,196","88,501,232","12,261,553","10,889,554","11,156,431","13,416,739","86,448,544","12,818,231","71,442,128","61,200,344"
1-palmitoyl-2-stearoyl-GPC (16:0/18:0),"95,612,872","72,363,336","11,287,412","58,119,176","7,147,829","4,880,424","5,428,366","6,341,953","70,443,984","6,663,653","48,570,608","53,602,752"
1-palmitoyl-3-linoleoyl-glycerol (16:0/18:2)*,"374,373,184","237,287,824","378,321,696","317,168,192","242,898,544","165,159,824","178,652,672","181,882,992","204,601,536","217,780,944","235,780,208","191,612,448"
1-palmitoyl-GPC (16:0),"154,115,568","107,524,888","107,123,024","102,040,752","27,236,612","16,960,452","29,841,498","78,392,168","113,590,408","27,088,948","63,662,824","66,937,848"
1-palmitoyl-GPE (16:0),"14,772,510","10,411,816","16,663,264","14,788,587","1,411,134","967,192","1,169,491","1,441,906","9,008,585","1,331,998","7,321,734","6,519,455"
1-palmitoyl-GPG (16:0)*,"473,359","160,976","520,321","446,827",,,,,"1,034,674",,"242,657","195,152"
1-palmitoyl-GPI (16:0)*,"5,161,039","3,848,719","3,212,650","3,773,215",,,,"125,673","10,974,818",,"2,189,732","2,342,388"
1-stearoyl-2-arachidonoyl-GPC (18:0/20:4),"1,132,169,600","813,522,432","101,998,848","729,380,736","88,026,824","69,785,136","61,569,288","112,553,168","891,718,912","85,677,944","663,925,376","732,773,888"
1-stearoyl-2-arachidonoyl-GPE (18:0/20:4),"221,563,040","166,028,864","64,979,888","169,949,568","71,150,088","66,478,432","54,037,432","72,982,504","163,871,488","62,132,216","155,476,624","158,894,944"
1-stearoyl-2-arachidonoyl-GPI (18:0/20:4),"6,612,739","5,403,483","1,816,430","6,228,665","3,863,890","2,988,245","3,831,163","3,885,743","5,941,119","1,460,941","5,137,583","6,614,392"
1-stearoyl-2-arachidonoyl-GPS (18:0/20:4),"70,038,016","59,253,664","30,237,644","59,000,240","25,207,148","21,308,880","17,353,240","27,892,388","63,494,428","26,657,596","62,750,296","61,908,400"
1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*,"748,485,632","634,948,736","449,955,104","695,824,448","297,723,488","298,156,480","291,277,280","396,985,216","578,049,664","424,143,296","506,933,056","639,561,792"
1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*,"58,566,580","57,911,596","63,833,828","74,557,120","55,282,992","58,640,840","57,074,248","64,137,516","41,058,968","65,117,016","48,501,348","59,936,504"
1-stearoyl-2-oleoyl-GPC (18:0/18:1),"668,393,728","523,903,360","85,133,080","462,914,208","67,803,704","56,107,940","52,650,356","74,339,176","625,581,376","89,191,456","424,633,504","500,956,160"
1-stearoyl-2-oleoyl-GPE (18:0/18:1),"49,832,224","38,403,532","11,688,928","35,905,792","9,323,617","6,999,131","7,154,559","9,250,051","38,264,856","14,676,907","31,655,604","36,566,840"
1-stearoyl-2-oleoyl-GPS (18:0/18:1),"1,389,721","1,342,011",,"1,170,433",,,"124,855","196,704","1,703,599",,"991,349","1,419,183"
1-stearoyl-GPC (18:0),"179,113,680","129,495,008","44,939,256","104,573,184","25,267,592","20,420,904","27,935,624","54,988,328","162,689,392","27,355,564","77,976,056","98,959,656"
1-stearoyl-GPE (18:0),"26,797,704","19,630,336","8,554,143","17,929,308","2,779,396","2,482,453","2,617,727","3,470,066","21,158,436","3,279,412","12,432,491","14,692,955"
1-stearoyl-GPI (18:0),"9,886,973","6,044,138","2,248,595","5,731,083","263,250","133,073","193,284","522,978","21,970,432","388,286","3,738,157","5,247,533"
1-stearoyl-GPS (18:0)*,"8,775,935","5,058,389","2,590,892","5,676,963","354,938","149,071","201,219","444,429","14,582,861","497,654","3,066,586","3,786,041"
10-heptadecenoate (17:1n7),"69,449,528","43,121,680","32,822,754","66,867,668","40,472,692","21,650,580","25,816,742","36,246,412","107,518,696","51,212,424","49,758,188","45,732,532"
10-nonadecenoate (19:1n9),"26,712,440","11,823,621","13,482,775","22,484,844","4,454,774","3,555,784","6,849,444","9,253,012","25,415,672","11,043,202","12,776,590","11,145,779"
"12,13-DiHOME","4,242,049","1,408,027","1,045,695","2,415,352","557,770","374,862","358,963","327,069","626,634","507,776","377,556","559,212"
12-HETE,"10,754,589","5,520,561","2,250,730","6,093,722","793,814","426,774","639,193","398,126","7,224,294","1,137,663","4,142,467","5,065,342"
15-HETE,"4,965,724","1,503,026","734,146","1,635,141","213,154","99,221","183,677","214,731","1,744,244","229,690","696,246","1,042,376"
15-methylpalmitate,"16,471,092","9,411,009","9,884,110","17,420,032","8,483,893","8,171,531","11,918,849","15,033,070","28,972,134","16,279,572","18,660,244","12,310,661"
16-hydroxypalmitate,"1,108,869","1,145,394","722,235","1,439,183","2,596,314","1,305,519","944,053","853,637","1,096,437","936,033","1,110,726","1,257,561"
17-methylstearate,"3,848,309","1,462,009","2,218,939","3,455,154","1,129,011","729,569","1,257,935","1,697,027","3,259,980","1,489,032","1,557,451","1,318,305"
2'-deoxycytidine,"7,150,842","5,450,842","3,406,698","5,888,371","513,086","372,051","682,157","1,503,640","5,453,735","1,300,019","3,222,661","2,960,421"
2'-deoxyguanosine,"1,514,712","4,280,097","478,595","1,864,494",,,,,"2,723,084",,"1,023,063","1,080,179"
2'-deoxyinosine,"270,141","408,096","125,308","240,785",,,,,"309,670",,"102,607","142,126"
2'-deoxyuridine,"90,893",,"43,021","87,828","19,917",,,"25,577","84,026",,"58,857","36,727"
2-aminoadipate,"863,844,736","807,110,272","29,131,488","540,419,840","34,476,400","21,490,890","31,336,664","27,384,514","1,378,291,456","39,019,724","623,750,464","1,030,238,336"
2-aminoheptanoate,"3,203,007","1,383,253","550,570","982,491","399,435","307,052","518,832","329,909","1,708,087","618,836","559,640","1,075,634"
2-aminooctanoate,"278,093","99,212",,"144,346",,,"40,485",,"207,376",,"92,852","118,687"
2-hydroxy-3-methylvalerate,"793,237","243,951","369,115","650,637",,,,,"801,949",,"629,728","434,900"
2-hydroxyadipate,"815,834","532,892",,"372,526",,,,,"1,440,334",,"693,916","1,034,096"
2-hydroxybutyrate/2-hydroxyisobutyrate,"1,050,304","719,885","573,474","528,529","497,750","338,232","462,427","627,747","1,500,693","829,856","1,266,872","1,171,599"
2-hydroxyglutarate,"5,069,914","3,427,121","19,412,916","8,962,935","3,172,294","3,994,750","3,413,713","4,215,600","3,392,905","3,836,717","7,308,415","4,922,642"
2-hydroxystearate,"4,625,093","3,751,004","2,410,021","2,796,180","1,320,453","1,018,682","1,674,127","1,300,588","6,811,876","1,848,060","3,514,598","2,738,958"
2-linoleoylglycerol (18:2),"2,352,811","937,519","483,928","1,234,185",,"257,966","267,692","152,477","1,688,617",,"462,191","437,458"
2-methylbutyrylcarnitine (C5),"3,397,675","1,840,256","1,319,663","1,819,615","350,730","439,905","1,090,983","1,027,544","2,662,233","820,833","1,721,748","2,801,062"
2-methylbutyrylglycine,"759,420","323,627","592,694",,,"478,772",,"510,313",,"561,374","557,011","473,465"
2-methylcitrate/homocitrate,"223,270","158,727","239,505","213,654",,,,,"205,454","30,104","172,300","148,298"
2-methylmalonyl carnitine,"178,681","112,953","154,506","150,032",,,,,,"56,396",,"80,003"
2-oleoylglycerol (18:1),"2,458,268","1,265,239","748,737","1,191,700","433,280",,"583,556",,"4,033,476","341,442","1,426,552","1,285,656"
2-palmitoleoyl-GPC (16:1)*,"863,368","1,134,699","214,316","520,549","87,706","77,458","118,587","168,700","676,261","108,228","208,190","437,377"
2-palmitoyl-GPC (16:0)*,"5,495,842","3,514,844","3,836,798","3,700,448","1,406,914","962,351","1,244,009","3,765,066","3,856,917","1,754,319","2,698,518","2,828,770"
2-stearoyl-GPE (18:0)*,"1,201,375","504,355","507,522","891,543","169,166",,,"358,593","2,355,923","113,382","655,980","740,890"
3-(4-hydroxyphenyl)lactate,"823,573","401,321","378,711","503,862","93,697","83,456","80,643","147,740","1,055,485","174,085","466,227","527,150"
