Sample,ND_Veh_1,ND_Veh_2,ND_Veh_3,ND_Veh_4,HFD_Veh_1,HFD_Veh_2,HFD_Veh_3,HFD_Veh_4,HFD_Tx_1,HFD_Tx_2,HFD_Tx_3,HFD_Tx_4
7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca),"354,875","177,985","147,173","243,737","384,877","219,021","446,913","164,025","325,040","428,347","189,897","307,494"
7-hydroxycholesterol (alpha or beta),"4,215,598","3,110,678","1,812,009","4,042,545",,"615,007","854,307","407,631","1,585,614","689,140","863,753","750,899"
7-ketodeoxycholate,"11,888,177","13,882,905","14,344,351","1,239,911","3,540,429","2,818,502","12,497,492","6,922,067","3,884,802","4,998,232","12,003,096","1,491,683"
7-methylguanine,"1,841,759","1,430,865","1,844,398","1,732,392","1,768,260","1,744,351","1,539,841","2,030,490","1,672,294","1,408,308","1,264,891","1,564,784"
"9,10-DiHOME","936,174","593,826","933,489","686,068","514,721","414,584","477,037","326,110","447,186","130,008","254,193","190,569"
acetylcarnitine,"186,731,504","147,147,584","84,748,400","18,916,280","36,757,724","112,034,800","79,550,880","43,084,216","64,526,736","309,965,440","450,904,384","125,172,992"
acetylphosphate,"3,243,592","2,775,265","1,916,055","3,119,003","2,956,909","2,759,897","3,214,034","2,942,152","4,374,880","4,502,076","2,829,487","4,300,769"
adenine,"75,665,672","65,278,264","69,011,656","69,841,232","82,638,992","89,532,432","79,780,264","100,316,448","71,010,128","81,128,096","65,882,176","75,060,096"
adenosine,"44,428,100","59,312,844","56,337,224","53,392,400","53,215,784","49,547,136","63,632,292","55,161,340","62,305,580","56,020,172","50,386,032","72,152,400"
adenosine 2'-monophosphate (2'-AMP),"1,597,369","1,338,897","2,636,613","2,326,029","1,447,941","2,367,101","702,645","1,739,415","1,609,469","946,508","1,470,587","1,312,285"
"adenosine 3',5'-cyclic monophosphate (cAMP)","39,971","41,029","27,930","26,075","39,808","34,645","44,603","37,081","33,142","28,900","44,050","33,659"
"adenosine 3',5'-diphosphate","2,361,411","1,868,015","2,925,039","3,227,190","2,734,819","3,276,859","1,787,895","2,589,082","2,491,798","2,046,291","2,107,562","2,563,957"
adenosine 3'-monophosphate (3'-AMP),"713,587","586,212","803,127","673,454","428,386","543,246","229,737","333,069","416,525","352,687","512,122","381,488"
adenosine 5'-diphosphate (ADP),"7,574,605","5,036,185","8,178,996","9,311,056","7,318,978","8,052,643","6,077,264","7,094,907","6,901,582","6,111,175","7,184,451","7,134,890"
adenosine 5'-diphosphoribose (ADP-ribose),"12,430,876","14,189,612","7,140,872","5,043,684","4,583,500","5,427,809","9,637,826","4,678,996","2,611,444","12,256,548","9,092,831","6,054,019"
adenosine 5'-monophosphate (AMP),"213,597,728","508,569,536","288,984,576","242,034,160","194,463,024","128,846,968","150,251,168","111,930,176","242,557,808","194,384,192","313,806,976","169,417,072"
adenosine-5'-diphosphoglucose,"77,117","120,400","165,609","108,588","93,465","25,674","42,585",,,,"68,358",
adenylosuccinate,"773,524","2,922,392","1,638,197","1,194,048","932,191","426,094","1,057,147","289,368","1,486,441","1,013,467","1,472,653","812,450"
adipate,"546,397","347,993","352,620","541,607","1,884,833","943,456","743,660","1,049,469","676,271","631,616","496,113","600,513"
adipoylcarnitine,"17,711,244","11,228,867","12,834,236","12,627,671","48,192,384","31,542,048","42,777,480","22,618,156","29,264,280","50,840,500","43,287,312","32,723,270"
adrenate (22:4n6),"48,054,204","71,249,704","21,693,918","76,843,376","103,392,856","98,164,352","80,173,568","72,026,656","143,513,808","51,717,340","195,086,864","60,267,740"
AICA ribonucleotide,"994,742","1,361,020","1,336,568","1,712,257","1,584,945","749,631","574,337","573,968","385,993","985,430","491,741","474,199"
alanine,"1,579,470,080","1,483,567,872","1,636,288,768","1,568,391,808","1,490,151,680","1,514,425,344","1,484,793,344","1,623,240,960","1,619,182,336","1,497,754,240","1,547,752,960","1,544,157,056"
alanylleucine,"5,037,472","5,057,079","5,259,419","3,089,697","3,055,484","5,532,600","2,740,024","4,196,987","3,045,115","1,782,298","6,325,271","2,122,207"
allantoin,"38,002,248","25,785,722","28,953,884","31,746,134","41,297,944","42,176,500","32,872,610","40,526,188","26,139,592","24,979,976","29,498,956","26,344,400"
alpha-hydroxyisovalerate,"4,288,326","4,186,714","3,473,337","3,452,890","8,010,957","8,234,260","8,427,653","7,609,669","5,930,340","7,459,946","6,861,546","7,464,655"
alpha-ketoglutarate,"1,131,358","1,009,546","1,015,326","983,631","1,132,139","773,814","1,323,146","1,113,527","1,382,861","1,105,424","1,169,408","1,415,254"
alpha-muricholate,"3,815,383","3,518,724","7,047,140","684,632","2,608,509","1,558,162","4,512,751","3,516,477","2,692,011","3,051,446","3,791,402","1,274,393"
alpha-tocopherol,"41,263,936","108,142,552","134,627,168","71,518,528","411,547,808","472,706,720","462,768,992","432,323,072","406,922,176","349,958,048","394,124,480","392,680,256"
anserine,"5,926,568","4,677,155","4,507,229","4,869,374","5,217,220","6,994,942","5,566,621","6,512,881","7,481,060","5,328,044","6,326,823","5,395,381"
arabitol/xylitol,"1,549,403","1,043,353","1,245,620","1,679,057","1,318,475","1,570,396","1,433,280","2,002,561","1,783,260","880,448","1,198,317","1,136,431"
arabonate/xylonate,"18,479,256","13,330,295","10,261,222","19,528,992","18,430,768","25,548,568","18,358,756","16,465,012","7,724,806","6,344,273","8,862,000","7,118,824"
arachidate (20:0),"34,956,400","34,143,928","15,433,667","46,078,672","33,599,464","36,723,288","41,560,360","43,134,252","59,996,984","24,580,724","36,195,124","28,073,362"
arachidonate (20:4n6),"544,567,808","560,615,104","289,990,144","917,035,456","777,948,096","679,549,696","655,061,312","658,927,488","730,261,760","419,984,800","831,694,144","469,283,264"
arginine,"26,794,688","27,273,608","21,132,736","14,836,107","23,934,202","22,462,416","24,982,064","30,572,904","30,413,676","20,325,540","20,455,862","21,171,624"
argininosuccinate,"4,716,380","2,979,771","2,091,977","2,720,620","3,927,883","3,909,783","6,598,943","6,473,879","4,010,171","2,855,288","2,705,686","3,453,227"
ascorbate (Vitamin C),"35,252,864","66,353,800","91,800,056","66,906,764","244,750,288","201,567,008","185,403,984","184,934,256","141,012,960","172,211,296","145,879,648","182,756,320"
asparagine,"17,403,684","14,464,899","16,717,869","19,306,208","19,478,556","14,989,097","14,036,375","17,727,676","15,965,677","12,006,392","14,388,762","16,547,473"
aspartate,"357,539,360","340,952,160","350,370,624","402,094,560","378,690,816","371,023,040","413,538,336","437,377,760","352,668,352","325,253,760","336,116,352","420,976,864"
azelate (nonanedioate),"965,803","842,326","995,470","1,085,502","597,780","331,224","281,468","312,089","326,397",,"420,322","246,062"
behenoyl sphingomyelin (d18:1/22:0)*,"330,239,648","303,850,240","261,296,576","345,116,416","379,932,128","431,747,872","471,946,848","520,429,664","272,342,656","389,400,512","285,043,648","359,523,840"
beta-alanine,"205,510,560","102,580,032","139,196,768","192,195,616","186,230,000","177,933,824","128,376,680","224,599,344","143,538,384","117,272,440","142,517,600","110,905,952"
beta-guanidinopropanoate,"17,854,268","17,090,064","15,627,304","17,420,288","4,338,793","3,806,517","3,425,005","2,991,084","4,109,727","3,553,011","2,977,504","5,058,356"
beta-hydroxyisovaleroylcarnitine,"12,178,421","8,387,036","10,334,457","9,020,215","13,375,073","14,869,538","13,468,760","8,564,651","12,659,223","14,530,602","16,018,443","11,186,840"
beta-muricholate,"118,589,608","78,887,152","122,141,688","10,817,977","44,179,292","27,243,500","107,980,000","42,418,180","49,309,212","62,443,640","184,771,088","28,212,774"
betaine,"2,214,658,048","1,856,231,040","1,985,582,592","1,170,264,064","1,530,143,360","1,393,651,328","1,261,044,352","957,571,968","1,677,307,264","1,046,282,176","2,071,096,064","1,348,907,264"
betaine aldehyde,"136,642,624","96,225,784","82,333,008","225,398,272","203,055,600","75,836,864","192,875,040","102,251,712","129,319,400","97,380,104","28,653,384","87,166,720"
biliverdin,"328,366","462,942","662,810","217,315","668,123","1,659,123","1,227,814","1,565,511","1,815,195","1,964,092","2,188,931","1,352,321"
biopterin,"1,483,414","795,473","536,105","1,223,099","767,682","745,730","519,626","735,010","513,849","574,463","532,563","689,338"
butyrylcarnitine,"15,227,780","7,833,627","6,640,969","2,545,282","2,614,352","5,718,851","10,358,521","4,022,751","7,262,539","23,860,648","23,352,180","8,293,781"
butyrylglycine,"4,353,227","3,642,311","4,298,567","3,689,280","3,529,204","1,837,703","2,144,496","1,149,599","1,570,264","2,093,744","1,399,918","1,407,314"
C-glycosyltryptophan,"9,561,412","8,241,574","7,092,713","8,962,277","8,833,850","8,216,136","8,092,349","8,655,097","9,140,834","9,223,241","9,498,512","11,548,839"
campesterol,"4,260,735","4,521,664","3,786,261","4,942,568","246,695","316,060","229,663","265,625","246,229","321,053","245,536","216,571"
carnitine,"1,641,605,760","1,523,009,280","1,952,929,280","1,562,768,512","1,537,679,616","1,743,252,352","1,526,910,336","1,305,656,704","1,587,783,808","1,660,653,440","1,899,292,672","1,350,703,232"
carnosine,"2,592,688","1,803,720","2,367,512","1,923,079","1,940,125","2,738,443","1,992,582","2,644,750","2,730,848","2,178,619","1,776,441","2,301,609"
catechol sulfate,"250,619","141,702","158,606","160,989",,,,,,,,
chenodeoxycholate,"2,116,567","1,665,279","1,767,156","755,938","2,081,581","1,262,676","3,858,971","1,605,409","2,373,281","2,605,408","3,100,087","1,533,200"
cholate,"8,911,375","8,116,998","10,302,413","1,131,027","2,460,127","1,419,386","6,884,833","4,951,540","3,792,123","4,508,885","6,643,523","1,536,744"
cholesterol,"198,669,008","225,066,336","202,086,672","230,168,688","254,390,400","239,474,208","246,510,960","225,846,608","245,456,352","221,807,984","244,647,696","281,782,784"
choline,"1,076,050,304","1,036,697,920","969,214,848","1,129,218,816","1,352,244,608","1,167,096,704","1,211,109,760","1,060,173,312","952,264,896","870,578,624","820,507,008","780,467,648"
choline phosphate,"811,421,184","798,940,352","981,851,136","790,236,544","671,792,640","882,285,184","796,003,968","532,460,672","1,240,320,000","1,066,305,600","1,231,998,848","1,145,588,864"
cis-urocanate,"1,010,221","505,733","814,840","613,117","905,386","1,148,257","523,923","574,221","6,048,512","569,623","521,671","453,474"
citrate,"10,692,255","13,550,749","7,758,527","4,015,552","5,044,945","4,849,416","6,913,927","3,337,814","8,445,054","4,528,616","9,203,469","3,280,185"
citrulline,"58,536,824","70,217,104","60,688,924","27,677,840","31,315,566","38,179,228","34,285,556","13,964,225","38,439,012","42,518,784","45,284,928","52,983,788"
coenzyme A,"1,059,326","3,628,472","2,742,693","990,039","3,166,887","3,068,033","3,887,157","2,665,008","1,946,502","3,691,735","2,355,952","3,098,570"
corticosterone,"683,068","130,390","137,271","219,348","783,614","131,556","471,655","59,138","98,930","505,107","381,167","79,508"
creatine,"1,126,815,232","504,532,160","634,273,984","571,872,192","436,848,960","666,807,168","552,542,656","654,860,480","1,433,271,040","826,393,088","1,114,996,992","687,937,152"
creatinine,"49,507,848","22,562,088","29,113,284","32,733,338","27,576,728","31,702,704","29,563,088","28,707,972","32,648,664","28,188,788","41,179,448","25,699,642"
cystathionine,"34,866,304","45,689,016","53,920,504","23,653,654","62,157,376","46,271,576","51,705,472","51,017,604","105,249,656","67,112,168","68,262,280","97,218,208"
cysteine,"13,703,978","21,282,018","26,323,476","13,212,112","36,899,960","36,611,488","28,620,392","55,179,744","37,433,784","30,356,954","29,499,282","30,063,632"
cysteine sulfinic acid,"340,452","124,192","155,654","265,165","432,819","356,521","1,392,138","235,495","221,932","290,231","121,143","297,344"
cysteine-glutathione disulfide,"27,173,548","5,630,296","9,174,365","21,700,506","7,140,494","18,610,452","4,997,513","17,951,212","8,896,830","4,672,948","4,678,778","4,074,238"
cysteinylglycine,"3,789,734","20,124,020","21,365,652","4,774,509","20,496,512","16,955,928","26,379,746","22,751,428","26,372,390","31,751,648","27,024,680","41,160,716"
cytidine,"68,975,376","63,447,884","57,271,048","67,925,960","77,751,264","72,814,992","87,037,808","82,104,000","52,131,724","53,898,240","50,136,808","71,192,576"
cytidine 3'-monophosphate (3'-CMP),,"973,641","1,238,679","1,362,026",,"1,237,540","719,451","938,616","642,910","962,987","1,437,846","1,151,688"
cytidine 5'-diphosphocholine,"796,663","443,380","584,858","858,979","806,654","705,320","684,670","655,565","427,755","517,926","468,684","567,537"
cytidine 5'-monophosphate (5'-CMP),"31,546,312","38,038,540","31,669,676","36,456,984","35,701,640","24,425,440","32,457,072","23,929,210","29,921,268","28,971,192","31,303,600","28,930,478"
cytidine-5'-diphosphoethanolamine,"1,079,139","955,329","810,257","1,285,510","1,224,805","1,128,652","896,407","1,036,587","501,260","581,950","577,561","608,441"
cytosine,"359,305","200,816","400,190","558,044","216,969","230,615","125,318","251,863","306,583","360,446","276,166","494,308"
daidzein,"1,922,737","1,269,444","2,079,781","2,044,527","116,016",,,,,,,
dehydroascorbate,"11,639,151","9,448,843","11,650,235","13,317,234","5,700,858","7,773,764","6,112,065","5,085,151","6,286,534","6,467,421","7,442,731","5,967,137"
deoxycarnitine,"41,655,376","26,325,886","36,875,728","35,175,008","37,200,912","28,491,980","36,427,592","28,422,230","27,594,478","27,466,004","44,362,832","31,468,376"
deoxycholate,"409,552","556,102",,,"412,898","255,531","772,266","483,335","801,721","339,091","651,819","403,796"
dihomo-linoleate (20:2n6),"66,245,648","90,050,656","35,153,836","106,121,168","82,672,408","72,960,376","82,817,376","70,097,576","78,908,104","43,987,292","144,444,688","48,430,040"
dihomo-linolenate (20:3n3 or n6),"116,693,832","153,084,080","69,817,456","156,740,912","119,122,272","109,587,904","133,402,896","101,484,920","78,299,824","67,743,896","169,458,848","76,072,304"
dihydrobiopterin,"286,126","255,698","321,726","316,338","371,658","436,863","292,299","356,194","261,410","303,117","268,455","399,275"
dihydroxyacetone phosphate (DHAP),"10,904,375","8,045,294","5,834,230","6,463,944","4,101,431","5,767,143","8,350,545","8,275,850","10,729,769","11,570,169","5,704,609","7,788,559"
dimethyl sulfone,"48,233,796","57,985,464","62,059,096","57,837,112","57,135,112","73,232,448","70,719,992","71,706,048","59,901,164","64,735,468","62,313,792","43,653,376"
dimethylarginine (SDMA + ADMA),"73,638,840","54,680,808","65,655,336","89,981,736","74,327,032","65,134,296","65,202,016","68,471,928","83,584,656","58,691,460","57,119,748","74,061,624"
dimethylglycine,"109,168,656","103,156,896","115,041,968","66,407,896","93,571,544","124,643,120","100,633,656","58,785,788","89,457,624","89,957,816","118,448,624","72,800,480"
docosadienoate (22:2n6),"4,408,802","6,825,557","2,405,898","7,612,803","3,121,358","3,316,510","3,867,953","3,260,981","3,840,455","2,445,705","6,261,423","2,845,048"
docosahexaenoate (DHA; 22:6n3),"325,071,520","312,134,240","126,811,712","477,862,176","286,911,616","256,037,856","251,809,376","272,770,784","214,230,112","127,205,552","302,085,216","148,665,024"
docosapentaenoate (n3 DPA; 22:5n3),"81,768,984","117,535,944","27,215,368","99,226,368","51,021,440","38,019,600","48,711,744","39,631,388","20,038,364","11,892,210","39,968,664","13,010,193"
docosapentaenoate (n6 DPA; 22:5n6),,,"9,362,765","22,464,644","65,579,088","80,580,488","57,821,728","63,120,124","76,636,400","43,109,124","125,149,024","61,342,612"
docosatrienoate (22:3n3),"4,060,996","6,181,490",,"5,961,706","7,279,040","6,803,199","4,408,953","2,545,676","5,849,052","4,476,445","16,984,268","5,216,432"
eicosapentaenoate (EPA; 20:5n3),"70,581,376","94,298,920","38,745,500","117,849,832","37,202,220","26,246,658","38,090,116","42,737,132","16,784,480","9,500,377","27,977,994","13,064,564"
eicosenoate (20:1),"87,381,072","114,008,776","54,116,376","114,835,728","121,747,248","107,829,704","122,039,544","106,516,496","121,273,864","59,189,520","208,694,752","74,908,528"
equol,"532,325","200,247","193,779","715,390",,,,,,,,
equol glucuronide,"915,718","592,469","839,138","887,429",,,,,,,,
equol sulfate,"12,699,036","9,717,784","12,925,786","10,019,795","148,034","128,071","62,874","112,029",,,,
ergothioneine,"462,437,216","468,488,096","557,140,992","463,714,656","90,471,720","102,233,968","88,310,728","83,537,072","83,909,920","76,153,496","104,273,376","82,416,336"
erucate (22:1n9),"13,584,288","20,449,124","7,391,407","21,983,356","11,692,957","10,595,376","12,736,360","12,859,660","14,398,669","8,769,001","18,685,224","11,462,206"
erythritol,"238,868","77,167","116,077","185,718","174,444","195,586","139,894","276,808","141,738","110,264","193,416","102,743"
erythronate*,"20,945,652","16,328,869","21,155,488","28,169,154","53,271,020","66,525,664","51,535,064","41,796,248","21,307,808","24,383,968","30,109,856","25,807,640"
ethylmalonate,"5,244,280","5,242,672","3,671,134","4,230,484","2,848,246","2,901,496","3,129,048","2,380,812","3,880,134","3,264,984","3,432,962","3,808,473"
ferulic acid 4-sulfate,"468,284","256,692","395,607","262,547",,,,,,,"65,336",
flavin adenine dinucleotide (FAD),"2,834,505","3,101,262","3,705,321","2,982,824","2,930,996","2,954,879","3,468,833","2,546,683","2,317,667","2,647,004","2,256,604","2,638,301"
flavin mononucleotide (FMN),"186,890","197,584","212,527","221,442","252,026","242,269","219,499","229,304","175,154","181,440","167,854","225,916"
fructose,"8,287,655","16,588,833","11,795,944","7,396,582","8,777,755","17,379,220","13,050,326","13,534,655","19,387,076","17,755,198","9,361,910","18,264,318"
fructose-6-phosphate,"1,628,362","1,452,090","1,011,796","1,166,169","1,294,754","1,603,633","1,320,188","1,228,216","2,702,572","2,316,228","889,453","2,283,018"
fumarate,"48,855,332","45,925,300","44,140,480","48,809,788","49,840,480","60,400,448","73,601,264","71,804,408","59,947,132","56,067,300","54,370,240","63,281,292"
galactonate,"16,189,418","16,985,144","11,724,902","10,753,944","20,340,124","20,868,650","16,676,140","20,027,624","15,578,482","22,300,908","19,904,172","16,404,759"
gamma-aminobutyrate (GABA),"57,870,912","45,909,336","47,460,924","53,782,376","28,967,170","36,638,688","55,658,380","28,381,060","40,259,876","31,613,926","51,959,356","43,152,180"
gamma-carboxyglutamate,"17,043,490","14,132,059","13,136,556","16,008,466","14,834,289","14,902,810","14,809,777","17,182,168","13,762,804","12,651,411","15,383,073","17,634,056"
gamma-glutamyl-2-aminobutyrate,"1,256,667","730,792","773,115","2,062,681","1,019,978","1,349,822","1,591,678",,"703,618","1,375,371","1,879,589","1,113,330"
gamma-glutamyl-epsilon-lysine,"8,158,412","6,013,390","7,259,670","6,395,551","5,657,640","5,962,455","5,383,354","5,270,193","6,330,463","6,269,791","7,481,391","6,740,446"
gamma-glutamylalanine,"3,820,789","3,087,950","4,022,922","4,459,111","1,078,909","1,625,989","1,646,337","1,175,136","1,489,239","1,976,543","3,482,021","1,982,410"
gamma-glutamylcysteine,"4,547,696","11,396,325","16,442,546","5,728,470","16,956,540","18,475,420","29,598,126","20,389,812","21,850,776","17,924,624","19,759,908","19,633,868"
gamma-glutamylglutamate,"35,566,844","36,664,192","42,639,960","39,537,976","34,059,324","32,867,704","36,064,004","31,969,992","32,270,008","24,348,768","30,145,800","25,838,524"
gamma-glutamylglutamine,"1,355,649","832,344","950,527","971,769","592,923","449,160","456,594","908,912","396,459","523,283","423,432","642,877"
gamma-glutamylglycine,"71,824,520","57,812,368","48,317,456","96,333,080","23,303,192","17,343,860","11,233,197","16,079,744","7,867,984","12,531,818","17,974,876","12,513,209"
gamma-glutamylhistidine,"451,556","297,979","446,453","333,126","458,843","365,259","350,106","380,157","337,554","226,322","364,964","259,414"
gamma-glutamylisoleucine*,"2,058,974","2,086,337","2,046,795","3,271,583","2,779,534","3,592,463","2,624,616","2,695,936","2,112,835","2,212,907","3,113,153","2,249,597"
gamma-glutamylleucine,"12,121,028","14,717,266","13,722,430","18,865,688","17,218,096","17,979,508","17,337,072","16,497,331","17,155,452","18,827,872","19,048,194","22,615,030"
gamma-glutamylmethionine,"1,646,253","155,425","269,889","727,963",,,,"245,604",,,,
gamma-glutamylphenylalanine,"1,348,791","1,179,875","1,183,965","1,268,325","1,481,400","1,411,029","1,827,812","1,328,994","1,273,362","1,727,925","1,396,575","1,518,666"
gamma-glutamylthreonine*,"254,450","404,349","314,381","442,347",,"356,404","219,419",,"171,081","217,693","113,419","205,407"
gamma-glutamyltryptophan,"161,976",,,,"443,018",,"270,090",,,"187,097",,"146,274"
gamma-glutamyltyrosine,,,,,,"32,874","37,012","29,824","17,590",,,
gamma-glutamylvaline,"37,033,664","31,896,832","32,462,120","59,051,016","34,099,528","37,699,784","30,199,798","28,607,592","20,772,352","29,844,620","36,702,796","26,400,780"
gamma-tocopherol/beta-tocopherol,"469,096",,"157,592",,"589,120","417,954","545,774","756,227","1,804,747","1,702,733","752,000","1,510,223"
genistein,"1,227,784","721,867","1,226,212","727,146","51,538",,,,,,,
gluconate,,"846,166","967,748","5,673,643",,"2,259,114","2,271,563","1,550,571",,,,
glucosamine-6-phosphate,"250,014","573,638","402,920","468,418","733,590","606,569","558,842","459,078","2,464,876","3,397,217","463,518","2,913,906"
glucose,"834,978,816","815,858,944","848,961,472","772,073,024","690,625,408","1,029,641,664","833,247,616","1,118,358,016","882,468,352","885,535,680","684,646,912","865,654,848"
glucose 6-phosphate,"649,336","1,007,175","609,467","714,987","1,018,027","754,710","676,163","594,199","4,908,780","5,259,985","623,663","3,583,731"
glucuronate,"6,790,343","16,508,261","17,191,850","5,447,213","12,953,536","7,455,780","13,517,371","4,319,252","6,895,419","17,386,624","20,102,444","13,811,270"
glutamate,"941,201,984","882,538,432","1,055,294,592","1,056,501,440","1,269,704,192","1,121,255,680","1,780,183,936","1,270,291,200","1,568,289,664","1,281,205,504","1,312,220,032","1,562,403,712"
"glutamate, gamma-methyl ester","22,023,752","14,104,416","18,515,502","23,955,320","28,801,626","26,650,156","22,240,196","29,355,758","26,709,976","28,928,176","24,593,836","42,494,712"
glutamine,"3,980,637,696","4,110,143,232","4,179,324,416","3,899,061,760","3,320,839,424","3,042,944,512","2,943,533,568","4,244,303,104","2,182,459,904","2,363,844,352","2,499,651,072","2,613,047,808"
glutarate (pentanedioate),"5,731,156","5,826,804","7,164,439","4,531,085","9,534,298","11,856,910","16,638,244","5,403,290","14,359,999","15,625,587","16,539,560","14,900,665"
glutarylcarnitine (C5),"19,599,424","20,758,752","21,988,572","19,614,304","35,942,248","32,986,066","35,037,272","24,394,838","28,220,552","35,265,968","40,794,612","32,542,952"
"glutathione, oxidized (GSSG)","1,358,388,736","1,228,164,096","1,286,474,752","1,400,243,712","1,170,042,752","1,150,929,536","1,091,542,784","1,234,632,704","1,251,794,304","1,196,655,744","1,155,524,992","1,228,979,456"
"glutathione, reduced (GSH)","350,012,320","1,644,761,216","1,580,876,800","422,192,864","1,464,660,864","1,290,515,840","1,816,917,120","1,871,416,576","1,851,452,032","2,258,750,720","1,809,760,640","2,824,486,912"
glycerate,"58,575,544","40,244,020","45,826,332","53,369,900","60,478,824","70,701,520","55,628,072","59,782,024","49,637,992","62,271,160","58,227,416","63,171,508"
glycerol,"4,075,974","3,914,558","4,796,886","3,352,836","5,438,777","3,989,192","6,023,441","5,044,247","3,458,664","2,179,380","3,389,578","2,479,386"
glycerol 3-phosphate,"40,214,432","23,551,488","19,125,480","29,281,268","30,510,108","19,695,166","35,578,240","24,050,680","16,086,527","28,333,374","34,588,864","34,894,008"
glycerophosphoethanolamine,"4,615,951","6,730,742","3,132,582","2,675,262","4,054,419","4,206,940","4,718,553","5,162,493","1,119,925","1,443,611","3,326,496","2,803,772"
glycerophosphoglycerol,"4,515,642","5,317,533","3,760,000","3,369,431","6,197,556","6,765,186","8,269,699","7,626,287","2,120,370","1,602,864","3,524,155","3,988,069"
glycerophosphoinositol*,"1,390,769","1,360,423","1,284,883","1,780,311","1,765,182","1,558,102","1,512,365","2,206,874","938,611","710,444","797,252","916,198"
glycerophosphorylcholine (GPC),"999,141,376","1,502,821,120","865,472,384","719,773,376","887,593,280","1,019,500,928","1,057,727,232","1,205,059,968","382,376,800","543,566,208","1,071,693,632","840,686,464"
glycine,"367,720,800","332,561,376","355,681,312","349,873,792","384,870,688","249,080,896","268,009,264","355,815,520","235,263,152","249,254,512","231,814,640","248,861,056"
glycocholate,"195,941","529,876","1,093,558",,,,,,"407,511","380,650","2,508,900","98,987"
glycosyl-N-palmitoyl-sphingosine,"19,009,240","13,395,604","13,867,581","18,780,668","16,855,756","18,199,012","15,617,044","16,136,333","17,811,850","24,577,334","23,749,944","31,697,744"
glycosyl-N-stearoyl-sphingosine,"933,338","749,192","799,675","885,219","1,505,477","1,976,583","1,374,799","1,366,000","2,206,197","2,420,935","3,251,012","3,545,482"
glycylisoleucine,"1,534,960","1,503,920","1,710,263","1,535,797","1,697,889","1,524,241","1,063,177","1,465,553","1,433,213","853,371","1,786,037","1,585,092"
glycylleucine,"11,993,733","11,490,915","12,184,369","10,328,797","11,528,725","12,857,875","8,153,663","10,998,558","10,286,602","7,384,541","12,588,541","10,052,701"
glycylvaline,"6,455,644","6,291,915","5,835,792","6,542,063","6,586,820","5,727,411","5,006,933","5,591,941","5,252,225","4,686,723","5,517,137","5,391,279"
guanidinoacetate,"40,792,232","17,539,892","19,873,782","42,763,068","39,750,788","25,497,074","26,419,496","25,401,170","25,073,286","22,564,664","28,523,132","28,025,826"
guanidinosuccinate,"13,831,252","23,081,752","36,359,364","12,443,675","52,622,244","63,130,808","214,526,384","53,339,240","52,613,680","36,930,072","44,312,648","26,924,954"
guanine,"5,335,749","4,792,830","5,136,759","5,116,009","7,363,683","6,030,124","5,704,058","6,100,260","5,620,145","5,102,349","5,688,428","7,505,668"
guanosine,"5,384,377","4,569,013","5,555,132","5,332,871","9,364,678","10,523,831","7,077,939","7,095,134","5,877,142","8,567,519","7,059,374","9,649,249"
guanosine 5'- monophosphate (5'-GMP),"26,951,286","49,604,428","32,347,178","36,885,396","28,002,130","9,592,888","12,353,977","6,296,750","24,272,290","20,932,216","32,118,484","18,373,762"
gulonic acid*,"615,093,568","385,021,600","394,217,856","436,862,720","570,360,448","401,895,904","361,700,608","506,735,680","390,646,848","407,397,920","411,426,560","390,383,840"
heme,"2,579,424","1,972,800","3,116,543","2,366,197","3,980,723","8,969,641","4,856,244","3,814,498","12,213,874","15,929,138","11,563,878","8,750,501"
hexadecanedioate,"311,605","273,057","325,722","251,332","620,253","437,964","570,562","384,778","888,069","424,043","458,819","488,304"
hexanoylglycine,"2,829,630","3,047,394","3,285,593","2,536,540","2,552,048","983,244","983,360","415,584","1,419,954","1,348,200","1,146,585","1,124,411"
hippurate,"942,319","620,715","985,286","628,973","134,781","1,755,954","116,472","458,672","346,577","170,510","272,035","163,124"
histidine,"29,264,430","27,766,744","31,345,672","22,650,504","25,870,468","23,380,438","23,796,320","33,580,756","24,658,408","22,638,890","23,509,932","22,798,502"
homoarginine,"720,116","1,207,905","900,970","949,096","1,882,355","2,958,407","3,169,358","1,743,048","3,506,955","3,040,027","3,931,588","5,602,135"
homocitrulline,"3,283,593","1,656,123","2,112,055","2,810,220","4,949,522","3,882,041","6,323,153","3,375,721","6,012,015","5,524,034","4,106,240","4,408,746"
homostachydrine*,"61,759,232","59,726,616","85,816,072","35,663,544","1,241,831","1,123,110","218,215","562,654","95,652",,,
hyodeoxycholate,"4,776,446","3,209,517","5,620,383","237,557","3,504,297","802,273","5,625,006","2,556,046","8,250,600","9,476,961","11,426,661","2,436,253"
hypotaurine,"3,170,307","1,929,161","1,904,876","823,974","2,449,102","2,248,602","3,158,725","1,466,568","7,538,778","7,359,450","4,241,047","6,813,383"
hypoxanthine,"85,056,744","65,876,112","85,253,048","88,433,600","138,967,696","110,690,184","105,840,464","118,236,912","91,463,184","68,560,920","107,366,352","85,088,184"
imidazole lactate,"31,326,798","35,574,776","36,590,936","29,051,156","25,766,016","32,564,978","31,601,010","28,987,004","36,562,124","26,481,156","35,799,200","44,406,572"
