"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8"
"213",-7.2055,-0.69615,-0.52361,1.4558,-2.7207,0.72244,0.85014,1.6046e-15
"215",3.6611,-0.38969,2.0548,3.338,1.4702,-0.21493,0.63998,2.5921e-15
"217",-5.6888,0.6411,0.78742,-1.4211,2.2438,1.9264,-0.14341,-6.8522e-16
"218",-6.5158,0.15043,-0.13873,-0.31032,0.74564,-2.5158,-0.88799,1.0001e-15
"207",3.8711,4.7951,-1.457,0.052024,-0.48969,-0.012852,0.15854,2.0123e-15
"208",3.8906,-0.73268,2.3267,-2.7499,-1.0815,-0.58196,1.2684,2.635e-15
"209",4.2538,-1.164,0.48762,0.04068,-1.2173,0.66657,-2.5517,2.9143e-15
"243",3.7336,-2.604,-3.5372,-0.4052,1.0496,0.010086,0.66606,2.609e-15
