external_gene_name	log2FoldChange.HFVeh_vs_NormVeh	padj.HFVeh_vs_NormVeh
Atp5f1	-1.11461717502976	0.00678845508650395
Gm2a	-1.00888109019141	0.0028070616232282
Cd52	-1.43899375115362	0.0231135443734084
Nhp2	-1.20820843696672	0.0218580528773679
Snrnp27	-1.29818006564651	0.0149867185054663
Rnd2	-1.19509153978279	0.0101481568173262
Cct3	-0.641981344912233	0.0403705487293638
Cyp51	-1.93276523532879	7.0872639795354e-07
Tat	1.42024199769549	4.81387093296956e-06
Ccne1	-2.06746950589145	0.00626038669565248
Ppard	1.16396772898751	0.0232865619541683
Mdp1	-1.01834564660126	0.0134297021394551
Snx9	0.982760923477322	0.0345333194628318
Mien1	-1.25655280612342	0.00591698678158226
Clpp	-1.09395819085989	0.00926919837609771
Nudt14	-1.1085499035705	0.0438351611484456
Flii	0.794458756694612	0.0275224746329844
Plin4	1.81135665749124	0.00103530844432598
Arrdc2	1.32338548038266	0.00400784196832523
Tbc1d8	1.21467827965592	0.00130764674917006
Fkbp11	-1.53783304656635	0.000222799457353558
Etv3	1.15467418826299	0.00180599018127156
Dgcr6	-1.08673506602935	0.0438372441513039
Snrnp200	0.906961115344177	0.0154565932313084
Dnase2a	-0.934726123589508	0.0111790597171991
Hlf	0.831081481752925	0.0270048251446983
Fam162a	-1.02889188016399	0.0231135443734084
Gstm5	-1.54766960897968	0.0335290596469246
Gstm3	-2.20362029094606	1.34756077103865e-15
Rab11a	-1.01835021857907	0.0131689749983419
Dgkq	1.75659691731173	0.0042084006421648
Ap1s1	-0.892614569239123	0.0438351611484456
Apba3	0.686543481160979	0.0256428196697624
Cstb	-0.856745163440279	0.0391277073401177
Mlxipl	1.02629118186056	0.0350572549396766
Cic	1.41983375710392	0.00139903374309625
Cyp2a5	-0.882704802952902	0.0323641061282665
Adcy9	1.25487939488989	0.0110892050803018
Tomm40l	1.54336398221194	0.0028070616232282
Nr1i3	0.934314134346102	0.0311449048930661
Gata6	1.39720911493006	0.00942616366376018
Reep5	-0.957953541223648	0.0229804053985279
Atp5g1	-1.23321481601867	0.029623995920357
Crkl	1.13672823704711	0.00139903374309625
Pgrmc1	-0.723420870682002	0.0391884409177376
Gcat	-0.938824362556586	0.0153694431997063
Elovl1	-0.726569286338332	0.0307930325296561
Epha2	1.79930838250896	4.81387093296956e-06
Mvd	-1.72946967568365	0.00347720915009106
Itih3	0.757869708435149	0.0335349297214168
Aprt	-1.39873682420649	0.000379006403799845
Hfe	-0.696216915231524	0.0274771671293684
Qrich1	0.847175026440323	0.0319555178760429
Usp19	0.860405450123664	0.007088231959187
Cdc42	-0.811224507397372	0.044936682747958
Tinf2	-0.930180803806015	0.0465824269606275
Mgst1	-1.07172000266282	0.00060385261885614
Nfib	-0.699614518047404	0.0283026154420615
Srp14	-1.29211098773603	0.00213975033225292
Mkl2	1.28003715251966	0.000814508133098782
Sardh	0.688328946344932	0.0276195244439571
Hyal1	1.1262055261074	0.00312807643794153
Prox1	0.88514051089243	0.0454393797304083
2610507B11Rik	0.796641725387699	0.0232865619541683
Nedd8	-1.20287529748217	0.00675071968801601
Pigyl	-1.28348050551885	0.00252056267130155
Atp6v0d1	-0.553908690913601	0.0390543111234611
Elof1	-1.00491769573586	0.0420377012433934
Ankrd52	1.09617400944748	0.0296829381837408
Srp19	-1.25248005626213	0.00861781696792993
Lpl	-2.41092852237421	2.20511579916476e-08
Atp6v0e	-1.09560944609735	0.00678202697634914
Psma2	-1.09333100861581	0.00171494801440137
Cnih1	-1.16178836044601	0.0129521383184158
Qdpr	-1.09362185391756	0.00270074911414773
Lta4h	0.973989237654494	0.0262337107806732
Chdh	0.921196089495775	0.00481110334969677
Fnta	-0.90372399989566	0.0318154202176991
Stard13	0.974328453880035	0.0219334092488709
Hsd11b1	-0.796857283078859	0.0465824269606275
Pls3	0.643308248663973	0.049868216277735
Hist1h2bc	-1.19339780429078	0.0107723317331364
Erbb3	0.753636816020254	0.0283442558718029
Mtmr4	0.642345617272388	0.0472831617902724
Kansl1	0.957245334327766	0.0151203670156835
Myo1b	0.762406228443359	0.0251640728913622
Kdm6b	1.09813515343178	0.0320401265885235
Cenpv	-0.909412603842846	0.0297897705754172
Slc2a4	2.82894322822886	0.00403905533134537
Gabarap	-1.08115557180008	0.00903322651918586
Acadvl	0.813479304570462	0.00840355861319029
Dusp14	1.3894201587632	0.0138111053561076
Atp5g3	-0.827518555317272	0.0121584315045456
Avpi1	-1.11334767499527	0.018840540490837
Med11	-1.25475363161681	0.0199395046697126
Dalrd3	1.00689549353962	0.0347077787396691
