"","overlap_ecc1_t47d"
"319","Dgke"
"320","Ireb2"
"321","Smu1"
"322","Atp6v0d1"
"323","Npas3"
"324","Cdk5rap3"
"325","Bbs10"
"326","Nedd9"
"327","Gsc2"
"328","Rreb1"
"329","Atp13a1"
"330","Znhit6"
"331","Pdhb"
"332","Spns3"
"333","Eif2a"
"334","Ppcdc"
"335","Igf2bp1"
"336","Tfec"
"337","Fam227a"
"338","Adat3"
"339","Rnf144b"
"340","Eaf1"
"341","Spon1"
"342","Coq3"
"343","Plekhg3"
"344","Ube2b"
"345","Casz1"
"346","Ephb6"
"347","Gap43"
"348","Blk"
"349","Dhrs3"
"350","Arfgef2"
"351","Ap3d1"
"352","Emp1"
"353","Krt16"
"354","Flywch1"
"355","Cdkn3"
"356","Pdcl3"
"357","Samd5"
"358","Micalcl"
"359","Zdhhc2"
"360","C5ar1"
"361","Lamc2"
"362","Cbln4"
"363","Adamts15"
"364","Tjp3"
"365","Gse1"
"366","Dot1l"
"367","Rbfox2"
"368","Ccdc134"
"369","Sap30l"
"370","Golm1"
"371","Nup210"
"372","Npr3"
"373","Rce1"
"374","Emid1"
"375","Tc2n"
"376","Ubtd2"
"377","Fgf18"
"378","Kxd1"
"379","Sergef"
"380","Foxo6"
"381","Cpq"
"382","Slc5a5"
"383","Ehf"
"384","Pxdn"
"385","Kif5b"
"386","Foxc1"
"387","Jade2"
"388","Ighg3"
"389","Spc24"
"390","Prkcd"
"391","Trpc6"
"392","Chd9"
"393","Myof"
"394","Ywhah"
"395","Bbx"
"396","Fam196a"
"397","Uqcr10"
"398","Uaca"
"399","Gprin3"
"400","Pxk"
"401","Rai1"
"402","Cycs"
"403","Ntsr2"
"404","Lysmd3"
"405","Ascl1"
"406","Ppp2r2c"
"407","Cpn1"
"408","Eif4g1"
"409","Ropn1"
"410","Kif13a"
"411","Myl10"
"412","Mx2"
"413","Trank1"
"414","Kif26a"
"415","Lgals4"
"416","Mrpl28"
"417","Nelfb"
"418","Gpr176"
"419","Ifngr2"
"420","Acly"
"421","Hrk"
"422","Hist1h4h"
"423","Cpeb4"
"424","Unc5b"
"425","Colec10"
"426","Plin5"
"427","Zbtb34"
"428","Mrps7"
"429","Rnf150"
"430","Rad21"
"431","Pgap3"
"432","Trak1"
"433","Mesdc2"
"434","Mid1"
"435","Myo7a"
"436","Rbm15"
"437","Tmsb4x"
"438","Ccdc178"
"439","Spink4"
"440","Zbtb20"
"441","Micall1"
"442","Cd200r1"
"443","Lox"
"444","Adtrp"
"445","Lsp1"
"446","Ryr3"
"447","Sidt1"
"448","Igf1"
"449","Kif7"
"450","Tmtc3"
"451","Spsb4"
"452","Il31"
"453","Khdrbs1"
"454","Hectd2"
"455","Sycn"
"456","Coprs"
"457","Cpne6"
"458","Stxbp4"
"459","Slc25a26"
"460","Zpld1"
"461","Sun5"
"462","Ccdc40"
"463","Slc7a1"
"464","Nuak2"
"465","Nuak1"
"466","Trim42"
"467","Sdhb"
"468","Gsdma"
"469","Mipol1"
"470","Adcy8"
"471","Fhit"
"472","Opa1"
"473","Prkar1a"
"474","Col25a1"
"475","Dpysl5"
"476","Rmdn2"
"477","Max"
"478","Huwe1"
"479","Cox11"
"480","Sbno2"
"481","Angptl2"
"482","Il12a"
"483","Snapc3"
"484","Gpr183"
"485","Tmem216"
"486","Sptlc3"
"487","Cog2"
"488","Uqcc2"
"489","Ubr5"
"490","Chn2"
"491","Cblb"
"492","Rdx"
"493","Tnpo1"
"494","Ncf4"
"495","Rit2"
"496","Apmap"
"497","Rpp14"
"498","Rpl10l"
"499","Zc3h18"
"500","Il18"
"501","Bcl6"
"502","Ppp1r36"
"503","Ndufaf4"
"504","Osbp2"
"505","Necab2"
"506","Arhgap21"
"507","Mrps26"
"508","Setx"
"509","Usp10"
"510","Aadacl2"
"511","Hivep3"
"512","Nsf"
"513","Il12b"
"514","Cxcl13"
"515","Usp31"
"516","Kirrel"
"517","Frs2"
"518","Foxk1"
"519","Cd300e"
"520","S100g"
"521","Hes2"
"522","Orm2"
"523","Nkx6-1"
"524","Echdc3"
"525","Amz1"
"526","Arpp21"
"527","Mtnr1a"
"528","Bcl11b"
"529","Npm2"
"530","Bach2"
"531","Prkcdbp"
"532","Spdef"
"533","Slco2a1"
"534","Dfna5"
"535","Fam20a"
"536","Tbc1d14"
"537","Tmed8"
"538","Ppib"
"539","Yod1"
"540","Matn2"
"541","March1"
"542","Il20"
"543","Gcsam"
"544","Syt16"
"545","Pla2g2e"
"546","Man1a2"
"547","Mapre3"
"548","Epha7"
"549","Ranbp3l"
"550","Yeats4"
"551","Dsn1"
"552","Pard3b"
"553","Arhgef10"
"554","Fut1"
"555","Sphk1"
"556","Lgalsl"
"557","Rps6ka2"
"558","Dcun1d3"
"559","Gadd45b"
"560","Trim33"
"561","Med13l"
"562","Aaas"
"563","Kcnc1"
"564","Krt27"
"565","Ust"
"566","Cacna1i"
"567","Ciz1"
"568","Glyatl3"
"569","Spry4"
"570","Ndst3"
"571","Cd160"
"572","Cap2"
"573","Syk"
"574","Ppm1l"
"575","Col8a1"
"576","Nccrp1"
"577","Spsb1"
"578","Erg"
"579","Mfi2"
"580","Ralgps1"
"581","Panx1"
"582","Meis3"
"583","Rfpl4b"
"584","Espl1"
"585","Snrk"
"586","Osbpl6"
