external_gene_name	log2FoldChange.HFGTX_vs_NormVeh	padj.HFGTX_vs_NormVeh
Cox5a	-1.0828326039622	0.043009923948202
Xpo6	0.87703791371259	0.0242662583334949
Ccnd2	1.04889216762325	0.0248085688543063
Pparg	-1.61668864262774	0.00151783206679549
Atp5f1	-1.3473430073725	0.00059260732655847
Mmp14	1.27751905807955	0.000239070648853855
Slc7a7	1.88062860111409	0.00186116459525762
Col6a1	1.15807113292114	0.0226589092635171
Cfp	1.12029206216566	0.0146568210793158
Ckb	1.62293160820656	0.0111449921567797
Pfdn5	-1.21659099534019	0.00355720224062686
Cyp51	-1.30512731934336	0.00202696676583833
Gstt3	-0.830133006722154	0.0490464116823516
Ugp2	-0.79907956700077	0.0283735420127819
Supt6	0.81491207116728	0.0420396372847279
Spi1	1.71898520335355	0.00355720224062686
Ndufa11	-1.33928794201683	0.000158242687506277
Abhd3	-0.79331986394706	0.0228946450541692
Axl	1.63731951052557	4.11310090302967e-07
Tgfb1	1.35482327065454	0.00609217370450326
Apoc2	0.898907895280187	0.0399022774934479
Hbp1	-0.727943710890384	0.039999361781253
Cyp2c29	-1.15644622904561	0.0035018682379033
Hck	1.51210043579627	0.0223361640646258
Rps11	-1.37746956846012	0.000972365235559168
Supt5	0.660956045585261	0.0399022774934479
Cyp17a1	2.95234333164381	0.00022439093283469
Crot	-1.05974095208546	0.0108179718437054
Gstm3	-0.919373956229658	0.00557503910744956
Stat5a	0.984742583727414	0.0173769817937129
Adgre1	1.64674232530874	0.00277782368968609
Rab11a	-0.93957307016113	0.0270168999532742
Rasa4	2.92349469107698	0.00416570572828123
Cyp2a5	-1.77510920885997	2.27246615107008e-07
Psmd4	-0.770086177742318	0.0187136791752225
Crip2	1.07573617933155	0.00940043788734618
Pgrmc1	-1.05691128936771	0.00111646143864736
Epha2	1.31331530627138	0.00198358432392555
Cyba	1.42900185540041	0.0260071232766424
Zfp655	-0.829335407797272	0.0218709674874419
Mid1ip1	0.92003879977959	0.00383048739419864
Pou2f2	2.04765067943023	0.00561448560813443
Mgst1	-0.855296249587988	0.00915652211384025
Cd163	1.7240061792054	0.000445966427844408
Bmp7	1.41277337326691	0.00205538154641794
Srp14	-1.09002006282146	0.0121196778984884
Tmem86a	1.48053425800435	0.000897779773538378
Ifi35	-0.930151523003135	0.044172345801116
Psen2	0.610088668818203	0.042839364059403
Exoc3l2	1.02226938060678	0.0110068599844763
Plin5	0.788252867723922	0.0424756771657824
Gltp	1.50407460125022	0.00557503910744956
Tvp23b	-0.954393759877941	0.0451597070959067
Ankrd52	1.10058301509032	0.0349030629798795
Clec4f	1.07473478127199	0.00475803980978233
Csf1	1.46732560391979	0.0132901776368481
Ptgds	2.42414304256457	0.00238454046149746
Nolc1	0.924421190081669	0.00727395148859175
Cyp2j9	-1.82232245528322	0.0215546348098293
Cybb	1.13531994183646	0.00821170526228174
Lpl	-1.10891120176555	0.017932564344546
Psma2	-0.825086038795268	0.0253741973029168
Qdpr	-0.799933205910724	0.0451153563047251
Cd5l	1.87633693567379	5.91949493113763e-11
Fcgr1	1.48413622664437	0.0123715291664518
Ncf1	1.58740359906858	0.000445966427844408
Celsr1	1.46080884324735	0.02313566977697
Hsd11b1	-1.27683965164953	0.000418481389998417
Cntnap1	2.42296773850091	0.00517630623806837
C1qtnf1	1.21345657731725	0.00111646143864736
Slc12a4	0.956989494587961	0.00969760485703411
Shroom1	0.859279115668002	0.020955165284162
Cenpv	-0.886962738965445	0.0419510242536484
Slc2a4	3.19627948042703	0.00065601964928
Ikzf1	2.14941682243428	0.0158329200894206
Atp5g3	-0.699333645405009	0.0479856093298442
Pank3	-0.795811992156734	0.0466389293414371
Arrb1	0.889964511857325	0.0246244285919934
Nars2	-1.05893645042209	0.00228683778743345
Ccl9	-1.55675115045854	0.000186649190707996
Isyna1	2.55024827472635	1.83982096510743e-10
Sec14l4	0.893250183871951	0.0303477993096699
Ptger1	1.18483436394775	0.0165100074559881
Rcn3	1.413498541758	0.0100130342880038
Arid3a	1.96018376287561	0.0399022774934479
Mrpl24	-1.14115346922	0.00606204505026709
Rmnd1	-1.46424299049381	0.0483984831211544
Pex3	-0.966233804864356	0.014798141822109
Nedd1	-1.41910312146039	0.00901886140921547
Pde7b	1.27066774464343	0.0438546791311505
Moxd1	5.88691735896986	0.00506796620376228
Tcp11l2	-1.38724851362505	0.00277071869595147
Timp3	1.05707023428628	0.0214540300902439
Herc4	-0.916786346366851	0.0104446583612373
Slc29a3	1.38861117115166	0.0473110347496184
4632428N05Rik	1.37957730629694	0.000217486476577051
Slc16a7	-1.0277156731118	0.00805075269911267
Pno1	-0.862041007153504	0.0353248888182861
Nfyb	-0.994120584948829	0.00901886140921547
Chac2	-1.4470879354576	0.00295325178783936
Mdh1	-0.853936756097882	0.00114752365909076
Flt4	1.21006545756914	4.31582808277826e-05
Pes1	1.1935858029504	0.00588856387858674
Smtn	1.70846602311246	0.0159366081658906
Drg1	-0.82475880042478	0.0377269814727461
Srebf1	1.052606260272	0.000972365235559168
Sdc1	0.606963825291915	0.0415826796380625
Arsg	1.05172995479462	0.0109363870697318
Fam20a	0.788589447364419	0.026981623227574
Dus4l	-1.44007929605768	0.0296555430221008
Itgb3	1.54794910198592	0.00222080577954724
Srp68	0.650653317083085	0.0370129311014707
Kif1c	0.67791907746463	0.0399022774934479
Sec14l1	0.953879433320708	0.0201280615492234
Lrrc59	0.700470217670478	0.0166229588882985
Adam11	-1.76864762153674	0.00420140760470863
Dcakd	1.06126945494061	0.00739351897624309
Esyt2	-0.858090479541741	0.0289588128116026
Ifi27l2b	1.62071302193461	0.0223361640646258
Akr1c12	-0.721226524107959	0.0306677370710359
Akr1c13	-1.12761736793363	0.0107816135942715
Acot3	-1.91705889713732	0.0236910744005867
Entpd5	-1.1135226926456	2.36513201632936e-05
0610007P14Rik	-0.940266359510698	0.0494969311085827
Fdft1	-1.33811305309244	7.7790789130719e-05
2010107E04Rik	-1.4971702494557	0.00154628861143769
Nedd9	1.6204810802021	0.0110068599844763
Eci2	-1.0147392700464	0.0147284324091294
Ly86	1.24656861768206	0.042020720546291
Slc35b3	-1.32372239121285	0.0223361640646258
Cxcl14	2.40646616913681	3.70945415982392e-05
Fam107a	3.81731233038822	1.50187947105758e-08
Anxa7	-0.789831025019141	0.0048633597994681
Mapk1ip1l	0.745494583856606	0.0497207964568032
Spryd7	-1.30848769012416	0.00198358432392555
Spata13	0.99739352266356	0.0421388927122899
Dnajc15	-1.27175837039736	0.0239719335000322
Lect1	-1.03541457116067	0.0260071232766424
Fbxl3	-0.984043682772096	0.0372479700304845
Dct	-1.64430361806416	0.0493699118223561
Fyb	1.60232311900017	0.0360977017715632
Slc7a8	1.94920180643191	0.00198358432392555
Cmbl	-0.803528655444059	0.0248721020047811
Nadk2	-0.810845956390779	0.0140440991842869
Hrsp12	-1.169762741191	0.000163392868731375
St13	-0.813015704735129	0.00219845354630691
Parvb	1.8308280047802	0.0312439456233717
Myh9	0.746443468987711	0.044172345801116
