"","ND_Veh_1","ND_Veh_2","ND_Veh_3","ND_Veh_4","HFD_Veh_1","HFD_Veh_2","HFD_Veh_3","HFD_Veh_4","HFD_Tx_1","HFD_Tx_2","HFD_Tx_3","HFD_Tx_4"
"glycylvaline","-0.4130367698","-0.3983136135"," 0.5166876160","-0.4833123840"," 0.1231792158"," 0.4820039004","-0.1471985831"," 0.4438720328","-0.4207596048"," 0.2452951554","-0.0001908435"," 0.0517738785"
"guanidinoacetate","-0.23994630","-0.13766816"," 0.74199404"," 0.15758800","-0.02884733","-0.15769196","-0.25800596","-0.15348752","-0.16536303"," 0.03323530"," 0.17879310"," 0.02939982"
"guanine","-0.26246735"," 0.44905585"," 0.52750263","-0.06575706","-0.17770263","-0.47249737","-0.47002968","-0.20313805"," 0.37660024"," 0.12488593"," 0.03423419"," 0.13931329"
"guanosine","-0.265258006","-0.002299207"," 0.691350556","-0.059001146"," 0.184635830","-0.308649444","-0.267297638","-0.194504502","-0.008544458"," 0.065081131"," 0.099299235"," 0.065187649"
"guanosine 5'- monophosphate (5'-GMP)","-0.5042811","-0.2907113","-0.1957024","-0.3314128"," 0.3835525"," 0.4957189"," 0.4662752"," 0.4403952","-0.3013448"," 0.4570432","-0.3426955","-0.2768370"
"gulonic acid*"," 0.46188841"," 0.08973539"," 0.11119939","-0.14468521"," 0.71633845","-0.28366155","-0.19529838","-0.21645332","-0.23663041","-0.16579648","-0.15766036"," 0.02102406"
"heme","-0.31098880","-0.38752085","-0.23656782","-0.53357206"," 0.42896485"," 0.43690974"," 0.41814403"," 0.46642794","-0.31535624"," 0.40435011","-0.30390379","-0.06688712"
"hexadecanedioate","-0.5473465","-0.3725126","-0.1412027","-0.3264838"," 0.3333983"," 0.4526535"," 0.3233384"," 0.2556248","-0.2538323"," 0.3662462","-0.0083938","-0.0814894"
"hexanoylcarnitine"," 0.5112483","-0.2410133"," 0.5274704"," 0.0207988"," 0.3975428","-0.4725296"," 0.1695974"," 0.1292139","-0.3133233","-0.2997036","-0.1273140","-0.3019879"
"hexanoylglycine"," 0.06462322","-0.49923639"," 0.32038202","-0.07543901"," 0.50076361","-0.16458657"," 0.05730347"," 0.33586237","-0.33300226"," 0.25265265","-0.36585567","-0.09346744"
"hippurate"," 0.22136810","-0.10719964"," 0.50890707"," 0.14887030"," 0.01470515"," 0.18038916"," 0.34874238"," 0.02290430","-0.34441210","-0.05836669","-0.44481510","-0.49109293"
"histamine","-0.08344042"," 0.05391083","-0.15751400","-0.14728065"," 0.32167985","-0.62934175","-0.31717016"," 0.27592623","-0.18023228"," 0.37065825"," 0.28320799"," 0.20959611"
"histidine"," 0.3924558"," 0.3224457","-0.1869227"," 0.1098545","-0.2848095","-0.3876358","-0.4813184","-0.3700614"," 0.4735297","-0.3134497"," 0.2072300"," 0.5186816"
"homoarginine","-0.41726551","-0.44839880","-0.37920695","-0.43150042"," 0.31286307"," 0.55160120"," 0.51248575"," 0.38805123","-0.05530997"," 0.30842101","-0.28587904","-0.05586157"
"homocitrulline"," 0.425546081"," 0.229231939","-0.029124005"," 0.210380166"," 0.135212022"," 0.133890423"," 0.164050212","-0.574453919"," 0.003100034","-0.465743345","-0.084552253","-0.147537355"
"homostachydrine*"," 0.46721312"," 0.41822195"," 0.47489408"," 0.47637134"," 0.12272696","-0.05718387","-0.10791965","-0.26696737","-0.50248622","-0.16586504","-0.33537665","-0.52362866"
"hypotaurine"," 0.3509313"," 0.3592284","-0.5879121"," 0.2389284","-0.4422497","-0.1860939","-0.3683914","-0.2662584"," 0.4120879","-0.2328178"," 0.3322591"," 0.3902881"
"hypoxanthine"," 0.4202003"," 0.3235152"," 0.1795485"," 0.1909496","-0.1781403","-0.5576037","-0.5797997","-0.5344381"," 0.3735753","-0.2158161"," 0.2134363"," 0.3645727"
"imidazole lactate","-0.3461924","-0.4634904","-0.1961053","-0.4449237"," 0.2398336"," 0.5365096"," 0.4896931"," 0.4944459","-0.2145979"," 0.3880260","-0.2324664","-0.2507320"
"imidazole propionate","-0.1341553"," 0.1475904","-0.2936260","-0.5652952"," 0.2475234"," 0.4347048"," 0.1155457"," 0.3584531"," 0.1252533"," 0.2574825","-0.5242472","-0.1692296"
"indolelactate","-0.073241861","-0.548465414"," 0.111347352","-0.263405655","-0.002456166"," 0.451534586"," 0.383766989"," 0.178331101","-0.209338933"," 0.101957826","-0.088560356","-0.041469469"
"inosine"," 0.13916896"," 0.23217730"," 0.50594417"," 0.09923123","-0.08294641","-0.49405583","-0.45234880","-0.40450989"," 0.23744180","-0.20795628"," 0.16766280"," 0.26019095"
"Isobar: fructose 1,6-diphosphate, glucose 1,6-diphosphate, myo-inositol 1,4 or 1,3-diphosphate","-0.21277534"," 0.14822295"," 0.51348769"," 0.32956931","-0.34987140","-0.48651231","-0.22993329","-0.04728788","-0.29264732"," 0.06089135"," 0.35921176"," 0.20764447"
"isobutyrylcarnitine","-0.29352075","-0.40092927","-0.14063319","-0.21647923","-0.14320131"," 0.11776392"," 0.54375619","-0.01239110","-0.04590698"," 0.59907073","-0.15484649"," 0.14731748"
"isocitrate","-0.44375379","-0.51697093","-0.05359480","-0.26425141"," 0.29619027"," 0.46175248"," 0.37006326"," 0.48302907","-0.38829509"," 0.15563455"," 0.05766834","-0.15747197"
"isoleucine"," 0.19411269"," 0.14962250","-0.28732967","-0.27014862","-0.12702291","-0.30993696","-0.36782761"," 0.36083251"," 0.34424315","-0.38151764"," 0.07649021"," 0.61848236"
"isoleucylglycine","-0.44813915","-0.28827758"," 0.54795152","-0.14003905"," 0.26456383"," 0.19376099"," 0.02386421"," 0.23034685","-0.45204848"," 0.33809365"," 0.15198455","-0.42206133"
"isovalerylcarnitine","-0.10961124","-0.16079391","-0.04017974"," 0.03090207","-0.40457303","-0.10323079"," 0.58585769","-0.26202103","-0.03145539"," 0.59542697","-0.25529853"," 0.15497694"
"isovalerylglycine","-0.1898484","-0.2905419"," 0.2522551","-0.4026364"," 0.4028461","-0.4375044"," 0.4423819"," 0.5624956","-0.3827212"," 0.5243528","-0.2340059","-0.2470734"
"kynurenine"," 0.3855810"," 0.3318774","-0.5565960"," 0.2899456","-0.2513773","-0.2563870","-0.4308470","-0.4368262"," 0.4326900","-0.3106017"," 0.3591372"," 0.4434040"
"lactate"," 0.4311313","-0.1440025","-0.1456916","-0.1379293"," 0.1312924","-0.5688687","-0.3346884","-0.2132363"," 0.2492836"," 0.0525930"," 0.2600605"," 0.4200559"
"laurylcarnitine","-0.1208113","-0.1047245","-0.1317256","-0.1877080"," 0.1725435"," 0.2714902"," 0.2730178"," 0.6038493","-0.3514558"," 0.1338309","-0.1621559","-0.3961507"
"leucine"," 0.19744394"," 0.24133102","-0.27309893","-0.12507189","-0.18784891","-0.33173513","-0.41282116"," 0.12438610"," 0.38077174","-0.28759873"," 0.08706312"," 0.58717884"
"leucylglycine","-0.51648863","-0.34625342"," 0.13343416","-0.15276737"," 0.30792777"," 0.25239033"," 0.34064631"," 0.17021910","-0.27841446"," 0.48351137","-0.09023089","-0.30397428"
"linoleate (18:2n6)","-0.16999455","-0.17554658"," 0.22449518"," 0.08078821"," 0.39530420"," 0.21926206"," 0.11199440"," 0.15459073","-0.31899578"," 0.46741722","-0.53258278","-0.45673230"
"linolenate [alpha or gamma; (18:3n3 or 6)]"," 0.044096441"," 0.169772187"," 0.370309065"," 0.370371337"," 0.347463778"," 0.200262782","-0.024235583"," 0.005573861","-0.505179988"," 0.217648712","-0.629628663","-0.566453930"
"linoleoylcarnitine*"," 0.41406094"," 0.02570388","-0.16036717"," 0.02060992","-0.17911199","-0.43798765","-0.40640699"," 0.41218199"," 0.03888723","-0.43737170"," 0.14778918"," 0.56201235"
"lysine"," 0.141391459"," 0.090583215","-0.235246080","-0.095056507","-0.208463860","-0.379085567","-0.366774191","-0.302417855"," 0.476934265"," 0.002291973"," 0.254928716"," 0.620914433"
"malate"," 0.23559416"," 0.11723127","-0.57410613"," 0.07362548","-0.39659136"," 0.04616351","-0.09461998","-0.10930347"," 0.37219211","-0.34334933"," 0.24726988"," 0.42589387"
"malonylcarnitine","-0.3516161","-0.4446329"," 0.2346355","-0.3134571"," 0.2573644"," 0.2091490"," 0.3547859"," 0.1711285","-0.4155404"," 0.5553671","-0.1514953","-0.1056887"
"maltose","-0.01719139","-0.03383629","-0.14206601","-0.27375403"," 0.72156851"," 0.13706283"," 0.17778637","-0.27843149","-0.13096701"," 0.03334695","-0.15141035","-0.04210808"
"maltotriose","-0.25253420","-0.01871904","-0.02495048","-0.35578495"," 0.64421505"," 0.29624660"," 0.34227388","-0.09326624","-0.19894372"," 0.14468048","-0.18708463","-0.29613275"
"mannitol/sorbitol","-0.05980941","-0.19863461","-0.23556839","-0.54304302"," 0.16535090"," 0.15614395","-0.11564003"," 0.10747211"," 0.12903999","-0.03571092"," 0.45695698"," 0.17344245"
"mannose"," 0.25613291"," 0.39532781","-0.47593374"," 0.01118287","-0.08032326","-0.33509929","-0.12823694","-0.43437012"," 0.49025428","-0.16541574","-0.05758504"," 0.52406626"
"margarate (17:0)","-0.2816490","-0.4828246","-0.2338848","-0.2800455"," 0.1969170"," 0.0819089"," 0.3101955"," 0.3642506"," 0.1854133"," 0.5171754","-0.2191755","-0.1582812"
"mead acid (20:3n9)","-0.31441020","-0.46865124","-0.03989569","-0.02441287"," 0.06062239"," 0.08249457"," 0.20113914","-0.01898318"," 0.06566628"," 0.53134876"," 0.12051669","-0.19543466"
"methionine"," 0.115418980"," 0.004483556","-0.415381458","-0.358402233","-0.197008402","-0.060037724","-0.155064075","-0.103003398"," 0.458473091"," 0.106409321"," 0.019493801"," 0.584618542"
"methionine sulfoxide"," 0.3581601"," 0.2988040","-0.1246451"," 0.1313680","-0.3970443","-0.5031022","-0.4528095","-0.1939352"," 0.4968978","-0.2700703"," 0.2559011"," 0.4004756"
"methylmalonate (MMA)"," 0.14467776","-0.16499006","-0.37417246"," 0.19795088"," 0.03428033"," 0.19409994","-0.47112504","-0.35538946"," 0.28745399"," 0.16260442"," 0.52887496","-0.18426525"
"methylphosphate"," 0.29678663"," 0.21905497"," 0.11320186"," 0.03467328","-0.21209709","-0.37884159","-0.48677492","-0.26133618"," 0.51322508","-0.09595275"," 0.03513224"," 0.22292847"
"methylsuccinate"," 0.06566104","-0.31888837"," 0.21254092","-0.46348563"," 0.47020226"," 0.20461323"," 0.19935873"," 0.33361336","-0.42638493"," 0.38775101","-0.52979774","-0.13518389"
"myo-inositol"," 0.22756784"," 0.49663502","-0.11654190","-0.03636297","-0.07367835","-0.04219930","-0.50336498","-0.36479558"," 0.28526240","-0.46948946"," 0.17876110"," 0.41820620"
"myristate (14:0)","-0.4484346","-0.3953537","-0.1773841","-0.3385428"," 0.5515654"," 0.4282271"," 0.2855779"," 0.2635316","-0.1763922"," 0.4035719","-0.2389663","-0.1574002"
"myristoleate (14:1n5)","-0.4254214","-0.2589637","-0.3272753","-0.3425050"," 0.5745786"," 0.3775574"," 0.1957077"," 0.2291810","-0.2122887"," 0.3661309","-0.1180679","-0.0586334"
"myristoylcarnitine","-0.20981538","-0.19715494"," 0.06795549","-0.27424638"," 0.29272677"," 0.18943916"," 0.11782089"," 0.59543280","-0.40456720"," 0.08865967","-0.13249457","-0.13375630"
"N-acetylalanine"," 0.45837705"," 0.26351729"," 0.12663114"," 0.05311609","-0.29342823","-0.40928823","-0.54162295","-0.33110803"," 0.29086745","-0.25727984"," 0.25060544"," 0.38961284"
"N-acetylarginine","-0.40491923","-0.39484191"," 0.02287833","-0.30359348"," 0.26171094"," 0.59508077"," 0.53254845"," 0.35773865","-0.35595597"," 0.34975799","-0.33571177","-0.32469277"
"N-acetylasparagine","-0.01546893","-0.05515722"," 0.52670022"," 0.13898100","-0.17193615"," 0.12360969","-0.45964768","-0.47329978"," 0.17986166","-0.31158701"," 0.25150874"," 0.26643545"
"N-acetylaspartate (NAA)"," 0.13930998","-0.06917743"," 0.61550745"," 0.10155378","-0.14289772","-0.38449255","-0.29958775","-0.21644980","-0.05998735","-0.12776783"," 0.30708505"," 0.13690418"
"N-acetylglutamate","-0.20698495","-0.23180195"," 0.24017428","-0.13708553"," 0.10395154"," 0.09738159"," 0.08695715"," 0.26283683","-0.54076467"," 0.45923533","-0.08523656","-0.04866306"
"N-acetylglutamine"," 0.259167418"," 0.008284455"," 0.489273282"," 0.105920716"," 0.318188233"," 0.014288264","-0.448864415","-0.510726718","-0.038839033","-0.382980207"," 0.122387069"," 0.063900936"
"N-acetylglycine","-0.02087742","-0.40429142","-0.08082996","-0.11867408"," 0.59570858"," 0.23663265"," 0.11511148"," 0.43301157","-0.24101658","-0.09438017","-0.20910735","-0.21128730"
"N-acetylhistidine"," 0.162378377","-0.103819639"," 0.337135956","-0.059360494"," 0.192150531"," 0.028562875"," 0.001084702","-0.662864044"," 0.004950830","-0.106561872"," 0.088125447"," 0.118217330"
"N-acetylleucine","-0.22570411","-0.07485181"," 0.54339760","-0.30088789"," 0.60780345","-0.11139380"," 0.32991805","-0.39219655"," 0.05666537","-0.26524427","-0.15619907","-0.01130695"
"N-acetylmethionine"," 0.3198987"," 0.3223142"," 0.0463818"," 0.3503378","-0.4789014","-0.5245387","-0.4630167","-0.5433909"," 0.4566091","-0.3461014"," 0.4387821"," 0.4216255"
"N-acetylneuraminate"," 0.3527840"," 0.3734590","-0.4524797"," 0.1751084","-0.4388051","-0.2910251","-0.3576038","-0.3554942"," 0.4757146","-0.2890661"," 0.2598876"," 0.5475203"
"N-acetylphenylalanine","-0.36520668","-0.42369862"," 0.05415278","-0.33018960"," 0.36918727"," 0.44630301"," 0.57630138"," 0.25309043","-0.26623222"," 0.44355898","-0.40344991","-0.35381679"
"N-acetylputrescine"," 0.2102780"," 0.4172909","-0.4854277","-0.1323128"," 0.5145723","-0.2495031","-0.2117270","-0.4661164"," 0.4186967","-0.2267764","-0.1308452"," 0.3418706"
"N-acetylserine"," 0.2166876","-0.1076663"," 0.4544700"," 0.1423588","-0.5455300","-0.2382416","-0.3354744","-0.3897270"," 0.2077646","-0.1388008"," 0.3086434"," 0.4255157"
"N-acetyltaurine","-0.24910018","-0.23758330"," 0.32588477","-0.41339160"," 0.19622893"," 0.27323405"," 0.48901959"," 0.09998574","-0.38379891"," 0.58660840","-0.32915866","-0.35792884"
"N-acetylthreonine"," 0.02667944","-0.05282946"," 0.70971378","-0.29028622","-0.24591603","-0.25933185","-0.05889210"," 0.18423064"," 0.02080050","-0.12440343"," 0.05133088"," 0.03890385"
"N-alpha-acetylornithine"," 0.07820939","-0.02919130"," 0.36659498","-0.26157194"," 0.07776232"," 0.16072816"," 0.14653856"," 0.18603188","-0.04269384","-0.63340502","-0.35607706"," 0.30707386"
"N-delta-acetylornithine"," 0.56834669"," 0.56235736"," 0.39629714"," 0.47549831","-0.06589167"," 0.06848999","-0.30141192","-0.41392302","-0.23090686","-0.27508401","-0.43165331","-0.35211869"
"N-formylmethionine","-0.18751760","-0.36211534"," 0.16914927","-0.27587049","-0.16059894"," 0.63788466"," 0.62761113","-0.09166324","-0.32537028"," 0.46759533","-0.29550982","-0.20359466"
"N-glycolylneuraminate","-0.43567827","-0.37498186","-0.07309412","-0.33863752"," 0.33779867"," 0.55674292"," 0.39124460"," 0.34206211","-0.44325708"," 0.41007022","-0.24087420","-0.13139546"
"N-methyl-4-aminobutyric acid"," 0.23912161"," 0.07996284"," 0.34165365"," 0.17795680","-0.24015188"," 0.07577725"," 0.15730787"," 0.10621138","-0.65834635"," 0.10535655"," 0.02186298","-0.40671270"
"N-monomethylarginine"," 0.1918262929"," 0.0496394369","-0.8081737071","-0.0584020929"," 0.1911557435"," 0.1243213000"," 0.0974355854","-0.0005477516"," 0.0728909196"," 0.0919504039"," 0.0720306552","-0.0241267857"
